Freq	Gain	Phase
1.00000000000000e-001	5.95253357939352e+001	-1.77263064959694e+002
1.07977516232771e-001	5.95263569063461e+001	-1.77465269948590e+002
1.16591440117983e-001	5.95272328372429e+001	-1.77652578605031e+002
1.25892541179417e-001	5.95279842449050e+001	-1.77826086043118e+002
1.35935639087853e-001	5.95286288073317e+001	-1.77986807867775e+002
1.46779926762207e-001	5.95291817130461e+001	-1.78135685765708e+002
1.58489319246111e-001	5.95296560005039e+001	-1.78273592764137e+002
1.71132830416178e-001	5.95300628218400e+001	-1.78401338148701e+002
1.84784979742229e-001	5.95304117497484e+001	-1.78519672035699e+002
1.99526231496888e-001	5.95307110850727e+001	-1.78629289632157e+002
2.15443469003188e-001	5.95309677884354e+001	-1.78730835258445e+002
2.32630506715363e-001	5.95311880073435e+001	-1.78824905993221e+002
2.51188643150958e-001	5.95313768828658e+001	-1.78912055170183e+002
2.71227257933203e-001	5.95315388943553e+001	-1.78992795546572e+002
2.92864456462524e-001	5.95316778479610e+001	-1.79067602294418e+002
3.16227766016838e-001	5.95317970323281e+001	-1.79136915755334e+002
3.41454887383360e-001	5.95318992481234e+001	-1.79201144011646e+002
3.68694506451958e-001	5.95319869267902e+001	-1.79260665262398e+002
3.98107170553497e-001	5.95320621273409e+001	-1.79315830039591e+002
4.29866234708228e-001	5.95321266485454e+001	-1.79366963253742e+002
4.64158883361278e-001	5.95321819609646e+001	-1.79414366105199e+002
5.01187233627272e-001	5.95322293878309e+001	-1.79458317838569e+002
5.41169526546464e-001	5.95322700994152e+001	-1.79499077386074e+002
5.84341413373518e-001	5.95323049868437e+001	-1.79536884895275e+002
6.30957344480193e-001	5.95323349246925e+001	-1.79571963126147e+002
6.81292069057961e-001	5.95323605963466e+001	-1.79604518771240e+002
7.35642254459641e-001	5.95323826209406e+001	-1.79634743664890e+002
7.94328234724282e-001	5.95324015027050e+001	-1.79662815914256e+002
8.57695898590894e-001	5.95324177042446e+001	-1.79688900945855e+002
9.26118728128794e-001	5.95324315775547e+001	-1.79713152480458e+002
1.00000000000000e+000	5.95324434923031e+001	-1.79735713435079e+002
1.07977516232771e+000	5.95324536860376e+001	-1.79756716768694e+002
1.16591440117983e+000	5.95324624376455e+001	-1.79776286260037e+002
1.25892541179417e+000	5.95324699282999e+001	-1.79794537242092e+002
1.35935639087853e+000	5.95324763619715e+001	-1.79811577275680e+002
1.46779926762207e+000	5.95324818650250e+001	-1.79827506788018e+002
1.58489319246111e+000	5.95324865535276e+001	-1.79842419662180e+002
1.71132830416178e+000	5.95324905973227e+001	-1.79856403787716e+002
1.84784979742229e+000	5.95324940195863e+001	-1.79869541584550e+002
1.99526231496888e+000	5.95324969535805e+001	-1.79881910482030e+002
2.15443469003188e+000	5.95324994437854e+001	-1.79893583379701e+002
2.32630506715363e+000	5.95325015572100e+001	-1.79904629075253e+002
2.51188643150958e+000	5.95325033598863e+001	-1.79915112668136e+002
2.71227257933203e+000	5.95325048537195e+001	-1.79925095948813e+002
2.92864456462524e+000	5.95325061179747e+001	-1.79934637755383e+002
3.16227766016838e+000	5.95325071483777e+001	-1.79943794326344e+002
3.41454887383360e+000	5.95325079962019e+001	-1.79952619628962e+002
3.68694506451958e+000	5.95325086517729e+001	-1.79961165678404e+002
3.98107170553497e+000	5.95325091413849e+001	-1.79969482843099e+002
4.29866234708228e+000	5.95325095063213e+001	-1.79977620143185e+002
4.64158883361278e+000	5.95325097079360e+001	-1.79985625539122e+002
5.01187233627272e+000	5.95325097943763e+001	-1.79993546214601e+002
5.41169526546464e+000	5.95325097286402e+001	1.79998571147977e+002
5.84341413373518e+000	5.95325095472186e+001	1.79990680089676e+002
6.30957344480193e+000	5.95325092235775e+001	1.79982734101058e+002
6.81292069057961e+000	5.95325087318685e+001	1.79974686350849e+002
7.35642254459641e+000	5.95325081064766e+001	1.79966489402009e+002
7.94328234724281e+000	5.95325072982111e+001	1.79958094950672e+002
8.57695898590894e+000	5.95325062971935e+001	1.79949453514989e+002
9.26118728128793e+000	5.95325050752303e+001	1.79940514168897e+002
1.00000000000000e+001	5.95325035933597e+001	1.79931224222056e+002
1.07977516232771e+001	5.95325018535891e+001	1.79921528920169e+002
1.16591440117983e+001	5.95324997915531e+001	1.79911371123356e+002
1.25892541179417e+001	5.95324973706808e+001	1.79900690963035e+002
1.35935639087853e+001	5.95324944961152e+001	1.79889425494582e+002
1.46779926762207e+001	5.95324911516887e+001	1.79877508321426e+002
1.58489319246111e+001	5.95324872224174e+001	1.79864869206623e+002
1.71132830416178e+001	5.95324826292515e+001	1.79851433659552e+002
1.84784979742229e+001	5.95324772633530e+001	1.79837122499897e+002
1.99526231496888e+001	5.95324709843037e+001	1.79821851380241e+002
2.15443469003188e+001	5.95324636649099e+001	1.79805530298097e+002
2.32630506715363e+001	5.95324551208126e+001	1.79788063072537e+002
2.51188643150958e+001	5.95324451533210e+001	1.79769346762793e+002
2.71227257933203e+001	5.95324335248748e+001	1.79749271056822e+002
2.92864456462524e+001	5.95324199731380e+001	1.79727717664100e+002
3.16227766016838e+001	5.95324041633326e+001	1.79704559559267e+002
3.41454887383360e+001	5.95323857262296e+001	1.79679660273501e+002
3.68694506451957e+001	5.95323642258719e+001	1.79652873089997e+002
3.98107170553497e+001	5.95323391513239e+001	1.79624040161514e+002
4.29866234708228e+001	5.95323099276048e+001	1.79592991595488e+002
4.64158883361278e+001	5.95322758333452e+001	1.79559544464347e+002
5.01187233627272e+001	5.95322360761655e+001	1.79523501702342e+002
5.41169526546464e+001	5.95321897275139e+001	1.79484650964178e+002
5.84341413373518e+001	5.95321357251616e+001	1.79442763403684e+002
6.30957344480193e+001	5.95320727342525e+001	1.79397592289221e+002
6.81292069057961e+001	5.95319992739224e+001	1.79348871557355e+002
7.35642254459641e+001	5.95319136612373e+001	1.79296314306744e+002
7.94328234724281e+001	5.95318138124447e+001	1.79239611082802e+002
8.57695898590894e+001	5.95316973977816e+001	1.79178428054525e+002
9.26118728128793e+001	5.95315617187756e+001	1.79112405071888e+002
1.00000000000000e+002	5.95314035084584e+001	1.79041153609248e+002
1.07977516232771e+002	5.95312190140994e+001	1.78964254501642e+002
1.16591440117983e+002	5.95310039758786e+001	1.78881255436361e+002
1.25892541179417e+002	5.95307532549281e+001	1.78791668405491e+002
1.35935639087853e+002	5.95304609619312e+001	1.78694966948105e+002
1.46779926762207e+002	5.95301201827038e+001	1.78590582959020e+002
1.58489319246111e+002	5.95297229072548e+001	1.78477903614420e+002
1.71132830416178e+002	5.95292597495748e+001	1.78356267783229e+002
1.84784979742229e+002	5.95287198191603e+001	1.78224962358862e+002
1.99526231496888e+002	5.95280903541211e+001	1.78083218177236e+002
2.15443469003188e+002	5.95273566242401e+001	1.77930205793352e+002
2.32630506715363e+002	5.95265012708132e+001	1.77765030862876e+002
2.51188643150958e+002	5.95255042426941e+001	1.77586729392851e+002
