rl	V(vo)	I(Rl)
5.207948328595548e-002	2.254789e-002	4.329514e-001
5.411695265464724e-002	2.344079e-002	4.331506e-001
5.623413251903581e-002	2.436950e-002	4.333578e-001
5.843414133735270e-002	2.533548e-002	4.335732e-001
6.072021956909982e-002	2.634026e-002	4.337973e-001
6.309573444802033e-002	2.738546e-002	4.340303e-001
6.556418494179893e-002	2.847273e-002	4.342727e-001
6.812920690579720e-002	2.960383e-002	4.345248e-001
7.079457843841490e-002	3.078057e-002	4.347872e-001
7.356422544596528e-002	3.200486e-002	4.350601e-001
7.644222742526120e-002	3.327866e-002	4.353440e-001
7.943282347242937e-002	3.460407e-002	4.356394e-001
8.254041852680311e-002	3.598323e-002	4.359467e-001
8.576958985909072e-002	3.741840e-002	4.362665e-001
8.912509381337591e-002	3.891195e-002	4.365993e-001
9.261187281288076e-002	4.046635e-002	4.369455e-001
9.623506263981033e-002	4.208416e-002	4.373059e-001
1.000000000000015e-001	4.376809e-002	4.376808e-001
1.039122303835185e-001	4.552094e-002	4.380710e-001
1.079775162327726e-001	4.734567e-002	4.384771e-001
1.122018454301980e-001	4.924536e-002	4.388998e-001
1.165914401179849e-001	5.122323e-002	4.393395e-001
1.211527658628607e-001	5.328266e-002	4.397973e-001
1.258925411794186e-001	5.542815e-002	4.402815e-001
1.308177474260213e-001	5.766179e-002	4.407796e-001
1.359356390878546e-001	5.998817e-002	4.412983e-001
1.412537544622775e-001	6.241137e-002	4.418387e-001
1.467799267622091e-001	6.493566e-002	4.424015e-001
1.525222956539041e-001	6.756554e-002	4.429879e-001
1.584893192461137e-001	7.030570e-002	4.435990e-001
1.646897865482892e-001	7.316108e-002	4.442357e-001
1.711328304161806e-001	7.613686e-002	4.448992e-001
1.778279410038949e-001	7.923853e-002	4.455910e-001
1.847849797422317e-001	8.247173e-002	4.463119e-001
1.920141938638829e-001	8.584257e-002	4.470637e-001
1.995262314968908e-001	8.935732e-002	4.478475e-001
2.073321573485984e-001	9.302264e-002	4.486648e-001
2.154434690031914e-001	9.684556e-002	4.495173e-001
2.238721138568371e-001	1.008335e-001	4.504065e-001
2.326305067153658e-001	1.049941e-001	4.513343e-001
2.417315480804137e-001	1.093358e-001	4.523025e-001
2.511886431509615e-001	1.138671e-001	4.533129e-001
2.610157215682573e-001	1.185971e-001	4.543677e-001
2.712272579332065e-001	1.235356e-001	4.554689e-001
2.818382931264492e-001	1.286927e-001	4.566189e-001
2.928644564625276e-001	1.340792e-001	4.578200e-001
3.043219887107763e-001	1.397066e-001	4.590749e-001
3.162277660168422e-001	1.455869e-001	4.603861e-001
3.285993247600698e-001	1.517329e-001	4.617566e-001
3.414548873833647e-001	1.581583e-001	4.631894e-001
3.548133892335801e-001	1.648774e-001	4.646877e-001
3.686945064519623e-001	1.719056e-001	4.662549e-001
3.831186849557337e-001	1.792592e-001	4.678946e-001
3.981071705535024e-001	1.869554e-001	4.696108e-001
