vin	V(vo)
1.729999999999998e+001	5.035055e+000
1.739999999999998e+001	5.035153e+000
1.749999999999998e+001	5.035250e+000
1.759999999999998e+001	5.035347e+000
1.769999999999998e+001	5.035445e+000
1.779999999999998e+001	5.035542e+000
1.789999999999998e+001	5.035638e+000
1.799999999999999e+001	5.035735e+000
1.809999999999999e+001	5.035831e+000
1.819999999999999e+001	5.035928e+000
1.829999999999999e+001	5.036024e+000
1.839999999999999e+001	5.036119e+000
1.849999999999999e+001	5.036215e+000
1.859999999999999e+001	5.036311e+000
1.870000000000000e+001	5.036406e+000
1.880000000000000e+001	5.036501e+000
1.890000000000000e+001	5.036596e+000
1.900000000000000e+001	5.036692e+000
1.910000000000000e+001	5.036786e+000
1.920000000000000e+001	5.036881e+000
1.930000000000000e+001	5.036975e+000
1.940000000000001e+001	5.037069e+000
1.950000000000001e+001	5.037163e+000
1.960000000000001e+001	5.037257e+000
1.970000000000001e+001	5.037351e+000
1.980000000000001e+001	5.037445e+000
1.990000000000001e+001	5.037538e+000
2.000000000000001e+001	5.037632e+000
2.010000000000002e+001	5.037724e+000
2.020000000000002e+001	5.037817e+000
2.030000000000002e+001	5.037910e+000
2.040000000000002e+001	5.038003e+000
2.050000000000002e+001	5.038095e+000
2.060000000000002e+001	5.038188e+000
2.070000000000002e+001	5.038280e+000
2.080000000000003e+001	5.038372e+000
2.090000000000003e+001	5.038464e+000
2.100000000000003e+001	5.038556e+000
2.110000000000003e+001	5.038647e+000
2.120000000000003e+001	5.038739e+000
2.130000000000003e+001	5.038830e+000
2.140000000000003e+001	5.038921e+000
2.150000000000004e+001	5.039012e+000
2.160000000000004e+001	5.039103e+000
2.170000000000004e+001	5.039194e+000
2.180000000000004e+001	5.039284e+000
2.190000000000004e+001	5.039374e+000
2.200000000000004e+001	5.039464e+000
2.210000000000004e+001	5.039555e+000
2.220000000000005e+001	5.039645e+000
2.230000000000005e+001	5.039734e+000
2.240000000000005e+001	5.039824e+000
2.250000000000005e+001	5.039914e+000
2.260000000000005e+001	5.040003e+000
2.270000000000005e+001	5.040092e+000
2.280000000000005e+001	5.040181e+000
2.290000000000006e+001	5.040270e+000
2.300000000000006e+001	5.040359e+000
2.310000000000006e+001	5.040448e+000
2.320000000000006e+001	5.040536e+000
2.330000000000006e+001	5.040624e+000
2.340000000000006e+001	5.040712e+000
2.350000000000006e+001	5.040801e+000
2.360000000000007e+001	5.040888e+000
2.370000000000007e+001	5.040977e+000
2.380000000000007e+001	5.041064e+000
2.390000000000007e+001	5.041152e+000
2.400000000000007e+001	5.041239e+000
2.410000000000007e+001	5.041326e+000
2.420000000000007e+001	5.041413e+000
2.430000000000008e+001	5.041500e+000
2.440000000000008e+001	5.041587e+000
2.450000000000008e+001	5.041674e+000
2.460000000000008e+001	5.041760e+000
2.470000000000008e+001	5.041847e+000
2.480000000000008e+001	5.041933e+000
2.490000000000008e+001	5.042019e+000
2.500000000000009e+001	5.042105e+000
2.510000000000009e+001	5.042191e+000
2.520000000000009e+001	5.042277e+000
2.530000000000009e+001	5.042362e+000
2.540000000000009e+001	5.042448e+000
2.550000000000009e+001	5.042533e+000
2.560000000000009e+001	5.042619e+000
2.570000000000010e+001	5.042704e+000
2.580000000000010e+001	5.042789e+000
2.590000000000010e+001	5.042873e+000
2.600000000000010e+001	5.042958e+000
2.610000000000010e+001	5.043043e+000
2.620000000000010e+001	5.043127e+000
2.630000000000010e+001	5.043211e+000
2.640000000000011e+001	5.043296e+000
2.650000000000011e+001	5.043380e+000
2.660000000000011e+001	5.043464e+000
2.670000000000011e+001	5.043548e+000
2.680000000000011e+001	5.043631e+000
2.690000000000011e+001	5.043715e+000
2.700000000000011e+001	5.043798e+000
2.710000000000012e+001	5.043881e+000
