rl	V(vo)	I(RL)
3.273406948788405e-03	1.401785e-03	4.282342e-01
3.311311214825934e-03	1.418029e-03	4.282378e-01
3.349654391578300e-03	1.434461e-03	4.282415e-01
3.388441561392049e-03	1.451084e-03	4.282452e-01
3.427677865464528e-03	1.467899e-03	4.282489e-01
3.467368504525341e-03	1.484910e-03	4.282527e-01
3.507518739525706e-03	1.502118e-03	4.282565e-01
3.548133892335781e-03	1.519525e-03	4.282604e-01
3.589219346450079e-03	1.537135e-03	4.282643e-01
3.630780547701041e-03	1.554948e-03	4.282683e-01
3.672823004980874e-03	1.572969e-03	4.282724e-01
3.715352290971754e-03	1.591198e-03	4.282764e-01
3.758374042884471e-03	1.609638e-03	4.282805e-01
3.801893963205641e-03	1.628293e-03	4.282847e-01
3.845917820453566e-03	1.647164e-03	4.282889e-01
3.890451449942837e-03	1.666254e-03	4.282932e-01
3.935500754557806e-03	1.685565e-03	4.282975e-01
3.981071705535005e-03	1.705100e-03	4.283018e-01
4.027170343254624e-03	1.724862e-03	4.283062e-01
4.073802778041160e-03	1.744853e-03	4.283107e-01
4.120975190973336e-03	1.765076e-03	4.283152e-01
4.168693834703388e-03	1.785534e-03	4.283198e-01
4.216965034285858e-03	1.806229e-03	4.283244e-01
4.265795188015962e-03	1.827164e-03	4.283291e-01
4.315190768277689e-03	1.848342e-03	4.283338e-01
4.365158322401697e-03	1.869766e-03	4.283386e-01
4.415704473533163e-03	1.891438e-03	4.283434e-01
4.466835921509670e-03	1.913361e-03	4.283483e-01
4.518559443749263e-03	1.935539e-03	4.283532e-01
4.570881896148790e-03	1.957975e-03	4.283582e-01
4.623810213992644e-03	1.980670e-03	4.283633e-01
4.677351412872024e-03	2.003629e-03	4.283684e-01
4.731512589614848e-03	2.026855e-03	4.283736e-01
4.786300923226427e-03	2.050350e-03	4.283788e-01
4.841723675841038e-03	2.074118e-03	4.283841e-01
4.897788193684507e-03	2.098161e-03	4.283895e-01
4.954501908047948e-03	2.122483e-03	4.283949e-01
5.011872336272769e-03	2.147088e-03	4.284004e-01
5.069907082747091e-03	2.171978e-03	4.284059e-01
5.128613839913697e-03	2.197157e-03	4.284115e-01
5.188000389289661e-03	2.222629e-03	4.284172e-01
5.248074602497777e-03	2.248396e-03	4.284230e-01
5.308844442309934e-03	2.274462e-03	4.284288e-01
5.370317963702580e-03	2.300831e-03	4.284347e-01
5.432503314924386e-03	2.327505e-03	4.284406e-01
5.495408738576300e-03	2.354489e-03	4.284467e-01
5.559042572704091e-03	2.381787e-03	4.284527e-01
5.623413251903547e-03	2.409401e-03	4.284589e-01
5.688529308438472e-03	2.437336e-03	4.284651e-01
5.754399373371627e-03	2.465596e-03	4.284714e-01
5.821032177708773e-03	2.494183e-03	4.284778e-01
5.888436553555950e-03	2.523102e-03	4.284843e-01
5.956621435290166e-03	2.552357e-03	4.284908e-01
6.025595860743640e-03	2.581952e-03	4.284974e-01
6.095368972401756e-03	2.611890e-03	4.285040e-01
6.165950018614886e-03	2.642176e-03	4.285108e-01
