rl	V(vo)	I(Rl)
5.207948328595548e-002	2.254683e-002	4.329312e-001
5.411695265464724e-002	2.343969e-002	4.331303e-001
5.623413251903581e-002	2.436835e-002	4.333374e-001
5.843414133735270e-002	2.533428e-002	4.335527e-001
6.072021956909982e-002	2.633902e-002	4.337768e-001
6.309573444802033e-002	2.738417e-002	4.340099e-001
6.556418494179893e-002	2.847140e-002	4.342523e-001
6.812920690579720e-002	2.960245e-002	4.345045e-001
7.079457843841490e-002	3.077914e-002	4.347669e-001
7.356422544596528e-002	3.200337e-002	4.350399e-001
7.644222742526120e-002	3.327713e-002	4.353240e-001
7.943282347242937e-002	3.460249e-002	4.356195e-001
8.254041852680311e-002	3.598160e-002	4.359270e-001
8.576958985909072e-002	3.741673e-002	4.362471e-001
8.912509381337591e-002	3.891024e-002	4.365801e-001
9.261187281288076e-002	4.046460e-002	4.369267e-001
9.623506263981033e-002	4.208239e-002	4.372875e-001
1.000000000000015e-001	4.376630e-002	4.376630e-001
1.039122303835185e-001	4.551915e-002	4.380538e-001
1.079775162327726e-001	4.734390e-002	4.384608e-001
1.122018454301980e-001	4.924364e-002	4.388844e-001
1.165914401179849e-001	5.122159e-002	4.393255e-001
1.211527658628607e-001	5.328114e-002	4.397847e-001
1.258925411794186e-001	5.542582e-002	4.402630e-001
1.308177474260213e-001	5.765937e-002	4.407610e-001
1.359356390878546e-001	5.998565e-002	4.412798e-001
1.412537544622775e-001	6.240875e-002	4.418201e-001
1.467799267622091e-001	6.493294e-002	4.423830e-001
1.525222956539041e-001	6.756271e-002	4.429694e-001
1.584893192461137e-001	7.030275e-002	4.435804e-001
1.646897865482892e-001	7.315803e-002	4.442171e-001
1.711328304161806e-001	7.613369e-002	4.448807e-001
1.778279410038949e-001	7.923520e-002	4.455723e-001
1.847849797422317e-001	8.246829e-002	4.462932e-001
1.920141938638829e-001	8.583896e-002	4.470448e-001
1.995262314968908e-001	8.935355e-002	4.478286e-001
2.073321573485984e-001	9.301872e-002	4.486459e-001
2.154434690031914e-001	9.684148e-002	4.494983e-001
2.238721138568371e-001	1.008292e-001	4.503876e-001
2.326305067153658e-001	1.049897e-001	4.513153e-001
2.417315480804137e-001	1.093312e-001	4.522834e-001
2.511886431509615e-001	1.138623e-001	4.532938e-001
2.610157215682573e-001	1.185921e-001	4.543485e-001
2.712272579332065e-001	1.235304e-001	4.554497e-001
2.818382931264492e-001	1.286873e-001	4.565997e-001
2.928644564625276e-001	1.340736e-001	4.578007e-001
3.043219887107763e-001	1.397007e-001	4.590555e-001
3.162277660168422e-001	1.455807e-001	4.603667e-001
3.285993247600698e-001	1.517265e-001	4.617372e-001
3.414548873833647e-001	1.581516e-001	4.631699e-001
3.548133892335801e-001	1.648705e-001	4.646681e-001
3.686945064519623e-001	1.718984e-001	4.662353e-001
3.831186849557337e-001	1.792516e-001	4.678749e-001
3.981071705535024e-001	1.869476e-001	4.695911e-001
4.136820402388560e-001	1.950046e-001	4.713877e-001
4.298662347082332e-001	2.034424e-001	4.732692e-001
4.466835921509688e-001	2.122820e-001	4.752403e-001
4.641588833612837e-001	2.215458e-001	4.773060e-001
4.823178482239366e-001	2.312577e-001	4.794716e-001
5.011872336272785e-001	2.414434e-001	4.817429e-001
5.207948328595528e-001	2.521303e-001	4.841259e-001
5.411695265464703e-001	2.633478e-001	4.866273e-001
5.623413251903560e-001	2.751277e-001	4.892540e-001
5.843414133735247e-001	2.875040e-001	4.920137e-001
6.072021956909960e-001	3.005132e-001	4.949145e-001
6.309573444802009e-001	3.141949e-001	4.979653e-001
6.556418494179868e-001	3.285916e-001	5.011755e-001
6.812920690579695e-001	3.437496e-001	5.045555e-001
7.079457843841464e-001	3.597188e-001	5.081162e-001
7.356422544596500e-001	3.765532e-001	5.118700e-001
7.644222742526092e-001	3.943118e-001	5.158298e-001
7.943282347242908e-001	4.130586e-001	5.200099e-001
8.254041852680281e-001	4.328634e-001	5.244260e-001
8.576958985909041e-001	4.538026e-001	5.290949e-001
8.912509381337559e-001	4.759595e-001	5.340354e-001
9.261187281288041e-001	4.994260e-001	5.392678e-001
9.623506263980995e-001	5.243028e-001	5.448147e-001
1.000000000000011e+000	5.507007e-001	5.507007e-001
1.039122303835181e+000	5.787425e-001	5.569533e-001
1.079775162327722e+000	6.085640e-001	5.636025e-001
1.122018454301976e+000	6.403159e-001	5.706822e-001
1.165914401179845e+000	6.741664e-001	5.782297e-001
1.211527658628602e+000	7.103028e-001	5.862869e-001
1.258925411794181e+000	7.489355e-001	5.949005e-001
1.308177474260208e+000	7.903007e-001	6.041234e-001
1.359356390878540e+000	8.346651e-001	6.140149e-001
1.412537544622769e+000	8.823307e-001	6.246423e-001
1.467799267622085e+000	9.336408e-001	6.360821e-001
1.525222956539035e+000	9.889878e-001	6.484218e-001
1.584893192461130e+000	1.048822e+000	6.617616e-001
1.646897865482885e+000	1.113661e+000	6.762173e-001
1.711328304161798e+000	1.184107e+000	6.919226e-001
1.778279410038941e+000	1.260860e+000	7.090338e-001
1.847849797422310e+000	1.344743e+000	7.277341e-001
1.920141938638821e+000	1.436726e+000	7.482397e-001
1.995262314968900e+000	1.537964e+000	7.708077e-001
2.073321573485976e+000	1.649837e+000	7.957461e-001
2.154434690031905e+000	1.774021e+000	8.234274e-001
2.238721138568361e+000	1.912553e+000	8.543062e-001
2.326305067153649e+000	2.067952e+000	8.889427e-001
2.417315480804127e+000	2.243356e+000	9.280361e-001
2.511886431509604e+000	2.442733e+000	9.724696e-001
2.610157215682562e+000	2.671171e+000	1.023376e+000
2.712272579332054e+000	2.935303e+000	1.082230e+000
2.818382931264480e+000	3.243935e+000	1.150992e+000
2.928644564625264e+000	3.609021e+000	1.232318e+000
3.043219887107750e+000	4.047183e+000	1.329902e+000
3.162277660168408e+000	4.582024e+000	1.448963e+000
3.285993247600684e+000	4.957364e+000	1.508635e+000
3.414548873833632e+000	4.990409e+000	1.461513e+000
3.548133892335786e+000	4.992604e+000	1.407107e+000
3.686945064519608e+000	4.993256e+000	1.354307e+000
3.831186849557321e+000	4.993796e+000	1.303459e+000
3.981071705535007e+000	4.994348e+000	1.254523e+000
4.136820402388542e+000	4.994757e+000	1.207390e+000
4.298662347082313e+000	4.995185e+000	1.162032e+000
4.466835921509669e+000	4.995586e+000	1.118373e+000
4.641588833612818e+000	4.995960e+000	1.076347e+000
4.823178482239348e+000	4.996308e+000	1.035895e+000
5.011872336272765e+000	4.996634e+000	9.969596e-001
5.207948328595506e+000	4.996940e+000	9.594833e-001
5.411695265464681e+000	4.997226e+000	9.234122e-001
5.623413251903537e+000	4.997494e+000	8.886941e-001
5.843414133735223e+000	4.997746e+000	8.552785e-001
6.072021956909934e+000	4.997984e+000	8.231169e-001
6.309573444801982e+000	4.998208e+000	7.921625e-001
6.556418494179840e+000	4.998418e+000	7.623703e-001
6.812920690579666e+000	4.998617e+000	7.336967e-001
7.079457843841434e+000	4.998805e+000	7.061000e-001
7.356422544596470e+000	4.998983e+000	6.795399e-001
7.644222742526060e+000	4.999151e+000	6.539776e-001
7.943282347242874e+000	4.999310e+000	6.293758e-001
8.254041852680246e+000	4.999460e+000	6.056985e-001
8.576958985909004e+000	4.999603e+000	5.829110e-001
8.912509381337520e+000	4.999739e+000	5.609799e-001
9.261187281288001e+000	4.999867e+000	5.398733e-001
9.623506263980953e+000	4.999990e+000	5.195601e-001
1.000000000000007e+001	5.000106e+000	5.000106e-001
1.039122303835176e+001	5.000216e+000	4.811961e-001
1.079775162327717e+001	5.000321e+000	4.630891e-001
1.122018454301971e+001	5.000422e+000	4.456631e-001
1.165914401179840e+001	5.000517e+000	4.288923e-001
1.211527658628597e+001	5.000608e+000	4.127523e-001
1.258925411794176e+001	5.000695e+000	3.972193e-001
1.308177474260203e+001	5.000777e+000	3.822706e-001
1.359356390878534e+001	5.000856e+000	3.678841e-001
1.412537544622763e+001	5.000932e+000	3.540389e-001
1.467799267622079e+001	5.001004e+000	3.407144e-001
1.525222956539028e+001	5.001072e+000	3.278912e-001
1.584893192461123e+001	5.001138e+000	3.155505e-001
1.646897865482879e+001	5.001201e+000	3.036740e-001
1.711328304161791e+001	5.001261e+000	2.922444e-001
1.778279410038934e+001	5.001319e+000	2.812448e-001
1.847849797422302e+001	5.001374e+000	2.706591e-001
1.920141938638813e+001	5.001427e+000	2.604717e-001
1.995262314968891e+001	5.001477e+000	2.506677e-001
2.073321573485967e+001	5.001525e+000	2.412325e-001
