RL	Rend
8.576958985908931e-001	4.593798e+000
9.261187281287924e-001	5.057231e+000
9.999999999999988e-001	5.578338e+000
1.079775162327708e+000	6.166729e+000
1.165914401179830e+000	6.834203e+000
1.258925411794166e+000	7.595410e+000
1.359356390878524e+000	8.468762e+000
1.467799267622068e+000	9.477737e+000
1.584893192461111e+000	1.065273e+001
1.711328304161779e+000	1.203382e+001
1.847849797422289e+000	1.367496e+001
1.995262314968877e+000	1.565051e+001
2.154434690031881e+000	1.806595e+001
2.326305067153623e+000	2.107600e+001
2.511886431509577e+000	2.491710e+001
2.712272579332025e+000	2.996944e+001
2.928644564625233e+000	3.688523e+001
3.162277660168375e+000	4.688078e+001
3.414548873833597e+000	5.105973e+001
3.686945064519570e+000	5.105853e+001
3.981071705534967e+000	5.103631e+001
4.298662347082271e+000	5.101003e+001
4.641588833612772e+000	5.097975e+001
5.011872336272716e+000	5.094550e+001
5.411695265464629e+000	5.090718e+001
5.843414133735167e+000	5.086469e+001
6.309573444801923e+000	5.081787e+001
6.812920690579603e+000	5.076654e+001
7.356422544596402e+000	5.071045e+001
7.943282347242803e+000	5.064935e+001
8.576958985908927e+000	5.058295e+001
9.261187281287921e+000	5.051094e+001
9.999999999999984e+000	5.043293e+001
1.079775162327708e+001	5.034857e+001
1.165914401179830e+001	5.025743e+001
1.258925411794165e+001	5.015906e+001
1.359356390878523e+001	5.005299e+001
1.467799267622067e+001	4.993868e+001
1.584893192461111e+001	4.981561e+001
1.711328304161778e+001	4.968318e+001
1.847849797422288e+001	4.954079e+001
1.995262314968876e+001	4.938777e+001
2.154434690031880e+001	4.922345e+001
2.326305067153622e+001	4.904710e+001
2.511886431509576e+001	4.885797e+001
2.712272579332023e+001	4.865527e+001
2.928644564625231e+001	4.843817e+001
3.162277660168374e+001	4.820582e+001
3.414548873833596e+001	4.795733e+001
3.686945064519569e+001	4.769180e+001
3.981071705534966e+001	4.740830e+001
4.298662347082269e+001	4.710588e+001
4.641588833612771e+001	4.678357e+001
5.011872336272714e+001	4.644042e+001
5.411695265464627e+001	4.607545e+001
5.843414133735165e+001	4.568770e+001
6.309573444801921e+001	4.527625e+001
6.812920690579600e+001	4.484018e+001
7.356422544596398e+001	4.437861e+001
7.943282347242798e+001	4.389076e+001
8.576958985908924e+001	4.337586e+001
9.261187281287916e+001	4.283325e+001
9.999999999999979e+001	4.226237e+001
1.079775162327707e+002	4.166278e+001
1.165914401179829e+002	4.103415e+001
1.258925411794165e+002	4.037632e+001
1.359356390878523e+002	3.968927e+001
1.467799267622067e+002	3.897318e+001
1.584893192461110e+002	3.822842e+001
1.711328304161777e+002	3.745554e+001
1.847849797422287e+002	3.665534e+001
1.995262314968876e+002	3.582883e+001
2.154434690031879e+002	3.497722e+001
2.326305067153622e+002	3.410200e+001
2.511886431509575e+002	3.320484e+001
2.712272579332023e+002	3.228763e+001
2.928644564625231e+002	3.135250e+001
3.162277660168373e+002	3.040175e+001
3.414548873833595e+002	2.943784e+001
3.686945064519568e+002	2.846339e+001
3.981071705534965e+002	2.748115e+001
4.298662347082268e+002	2.649392e+001
4.641588833612770e+002	2.550461e+001
5.011872336272713e+002	2.451612e+001
5.411695265464626e+002	2.353135e+001
5.843414133735165e+002	2.255316e+001
6.309573444801921e+002	2.158432e+001
6.812920690579600e+002	2.062752e+001
7.356422544596400e+002	1.968528e+001
7.943282347242800e+002	1.875999e+001
8.576958985908925e+002	1.785384e+001
9.261187281287918e+002	1.696882e+001
9.999999999999981e+002	1.610671e+001
1.079775162327707e+003	1.526907e+001
1.165914401179829e+003	1.445723e+001
1.258925411794165e+003	1.367230e+001
1.359356390878523e+003	1.291516e+001
1.467799267622066e+003	1.218646e+001
1.584893192461110e+003	1.148666e+001
1.711328304161777e+003	1.081600e+001
1.847849797422287e+003	1.017457e+001
1.995262314968875e+003	9.562245e+000
2.154434690031879e+003	8.978781e+000
2.326305067153621e+003	8.423777e+000
2.511886431509574e+003	7.896722e+000
2.712272579332022e+003	7.396987e+000
2.928644564625230e+003	6.923865e+000
3.162277660168372e+003	6.476567e+000
3.414548873833594e+003	6.054247e+000
3.686945064519567e+003	5.656011e+000
3.981071705534963e+003	5.280931e+000
4.298662347082266e+003	4.928054e+000
4.641588833612767e+003	4.596416e+000
5.011872336272711e+003	4.285045e+000
5.411695265464624e+003	3.992974e+000
5.843414133735162e+003	3.719245e+000
6.309573444801918e+003	3.462915e+000
6.812920690579596e+003	3.223061e+000
7.356422544596396e+003	2.998784e+000
7.943282347242796e+003	2.789214e+000
8.576958985908921e+003	2.593507e+000
9.261187281287914e+003	2.410854e+000
9.999999999999976e+003	2.240475e+000
1.079775162327707e+004	2.081628e+000
1.165914401179829e+004	1.933601e+000
1.258925411794164e+004	1.795719e+000
1.359356390878522e+004	1.667339e+000
1.467799267622066e+004	1.547851e+000
1.584893192461110e+004	1.436680e+000
1.711328304161776e+004	1.333281e+000
1.847849797422286e+004	1.237139e+000
1.995262314968875e+004	1.147772e+000
2.154434690031878e+004	1.064724e+000
2.326305067153620e+004	9.875677e-001
2.511886431509574e+004	9.159009e-001
2.712272579332022e+004	8.493475e-001
2.928644564625229e+004	7.875549e-001
3.162277660168372e+004	7.301933e-001
3.414548873833593e+004	6.769539e-001
3.686945064519566e+004	6.275484e-001
3.981071705534963e+004	5.817073e-001
4.298662347082266e+004	5.391794e-001
4.641588833612768e+004	4.997301e-001
5.011872336272711e+004	4.631411e-001
5.411695265464624e+004	4.292084e-001
5.843414133735162e+004	3.977426e-001
6.309573444801918e+004	3.685668e-001
6.812920690579596e+004	3.415170e-001
7.356422544596395e+004	3.164401e-001
7.943282347242796e+004	2.931941e-001
8.576958985908920e+004	2.716466e-001
9.261187281287913e+004	2.516750e-001
9.999999999999975e+004	2.331650e-001
1.079775162327707e+005	2.160106e-001
1.165914401179829e+005	2.001134e-001
1.258925411794164e+005	1.853819e-001
1.359356390878522e+005	1.717313e-001
1.467799267622066e+005	1.590827e-001
1.584893192461110e+005	1.473631e-001
1.711328304161777e+005	1.365045e-001
1.847849797422286e+005	1.264441e-001
1.995262314968875e+005	1.171235e-001
2.154434690031878e+005	1.084884e-001
2.326305067153620e+005	1.004888e-001
2.511886431509573e+005	9.307795e-002
2.712272579332021e+005	8.621274e-002
2.928644564625229e+005	7.985309e-002
3.162277660168371e+005	7.396191e-002
3.414548873833593e+005	6.850477e-002
3.686945064519566e+005	6.344978e-002
3.981071705534962e+005	5.876737e-002
4.298662347082266e+005	5.443014e-002
4.641588833612767e+005	5.041271e-002
5.011872336272710e+005	4.669152e-002
5.411695265464623e+005	4.324479e-002
5.843414133735162e+005	4.005229e-002
6.309573444801917e+005	3.709530e-002
6.812920690579596e+005	3.435648e-002
7.356422544596396e+005	3.181975e-002
7.943282347242796e+005	2.947021e-002
8.576958985908921e+005	2.729406e-002
9.261187281287913e+005	2.527853e-002
9.999999999999977e+005	2.341177e-002
