RL	Rend
1.000000000000000e-003	4.315596e-003
1.079775162327710e-003	4.659958e-003
1.165914401179832e-003	5.031805e-003
1.258925411794167e-003	5.433333e-003
1.359356390878526e-003	5.866913e-003
1.467799267622070e-003	6.335103e-003
1.584893192461113e-003	6.840669e-003
1.711328304161781e-003	7.386597e-003
1.847849797422291e-003	7.976112e-003
1.995262314968879e-003	8.612696e-003
2.154434690031883e-003	9.300113e-003
2.326305067153626e-003	1.004242e-002
2.511886431509580e-003	1.084402e-002
2.712272579332028e-003	1.170964e-002
2.928644564625237e-003	1.264440e-002
3.162277660168379e-003	1.365383e-002
3.414548873833602e-003	1.474392e-002
3.686945064519576e-003	1.592110e-002
3.981071705534973e-003	1.719236e-002
4.298662347082277e-003	1.856523e-002
4.641588833612779e-003	2.004784e-002
5.011872336272723e-003	2.164898e-002
5.411695265464637e-003	2.337816e-002
5.843414133735176e-003	2.524565e-002
6.309573444801932e-003	2.726252e-002
6.812920690579613e-003	2.944077e-002
7.356422544596413e-003	3.179335e-002
7.943282347242814e-003	3.433426e-002
8.576958985908940e-003	3.707864e-002
9.261187281287935e-003	4.004283e-002
1.000000000000000e-002	4.324454e-002
1.079775162327710e-002	4.670288e-002
1.165914401179832e-002	5.043852e-002
1.258925411794167e-002	5.447382e-002
1.359356390878526e-002	5.883297e-002
1.467799267622069e-002	6.354211e-002
1.584893192461113e-002	6.862953e-002
1.711328304161780e-002	7.412586e-002
1.847849797422290e-002	8.006424e-002
1.995262314968879e-002	8.648051e-002
2.154434690031883e-002	9.341348e-002
2.326305067153625e-002	1.009052e-001
2.511886431509579e-002	1.090012e-001
2.712272579332027e-002	1.177508e-001
2.928644564625235e-002	1.272074e-001
3.162277660168378e-002	1.374289e-001
3.414548873833600e-002	1.484782e-001
3.686945064519574e-002	1.604233e-001
3.981071705534971e-002	1.733380e-001
4.298662347082275e-002	1.873026e-001
4.641588833612777e-002	2.024042e-001
5.011872336272721e-002	2.187372e-001
5.411695265464634e-002	2.364045e-001
5.843414133735173e-002	2.555177e-001
6.309573444801929e-002	2.761985e-001
6.812920690579609e-002	2.985791e-001
7.356422544596408e-002	3.228035e-001
7.943282347242810e-002	3.490290e-001
8.576958985908935e-002	3.774267e-001
9.261187281287928e-002	4.081837e-001
9.999999999999992e-002	4.415043e-001
1.079775162327709e-001	4.776118e-001
1.165914401179831e-001	5.167508e-001
1.258925411794166e-001	5.591892e-001
1.359356390878524e-001	6.052210e-001
1.467799267622068e-001	6.551689e-001
1.584893192461112e-001	7.093880e-001
1.711328304161779e-001	7.682693e-001
1.847849797422289e-001	8.322442e-001
1.995262314968878e-001	9.017890e-001
2.154434690031881e-001	9.774313e-001
2.326305067153624e-001	1.059756e+000
2.511886431509577e-001	1.149412e+000
2.712272579332025e-001	1.247124e+000
2.928644564625233e-001	1.353699e+000
3.162277660168376e-001	1.470041e+000
3.414548873833598e-001	1.597163e+000
3.686945064519571e-001	1.736208e+000
3.981071705534968e-001	1.888462e+000
4.298662347082272e-001	2.055386e+000
4.641588833612774e-001	2.238637e+000
5.011872336272717e-001	2.440109e+000
5.411695265464630e-001	2.661971e+000
5.843414133735169e-001	2.906722e+000
6.309573444801925e-001	3.177252e+000
6.812920690579605e-001	3.476924e+000
7.356422544596405e-001	3.809674e+000
7.943282347242806e-001	4.180134e+000
