RL	Rend
1.000000000000000e-003	4.505096e-003
1.079775162327710e-003	4.864579e-003
1.165914401179832e-003	5.252755e-003
1.258925411794167e-003	5.671914e-003
1.359356390878526e-003	6.124532e-003
1.467799267622070e-003	6.613281e-003
1.584893192461113e-003	7.141046e-003
1.711328304161781e-003	7.710946e-003
1.847849797422291e-003	8.326346e-003
1.995262314968879e-003	8.990884e-003
2.154434690031883e-003	9.708484e-003
2.326305067153626e-003	1.048339e-002
2.511886431509580e-003	1.132018e-002
2.712272579332028e-003	1.222381e-002
2.928644564625237e-003	1.319961e-002
3.162277660168379e-003	1.425337e-002
3.414548873833602e-003	1.539132e-002
3.686945064519576e-003	1.662020e-002
3.981071705534973e-003	1.794728e-002
4.298662347082277e-003	1.938042e-002
4.641588833612779e-003	2.092814e-002
5.011872336272723e-003	2.259959e-002
5.411695265464637e-003	2.440469e-002
5.843414133735176e-003	2.635417e-002
6.309573444801932e-003	2.845960e-002
6.812920690579613e-003	3.073349e-002
7.356422544596413e-003	3.318937e-002
7.943282347242814e-003	3.584184e-002
8.576958985908940e-003	3.870672e-002
9.261187281287935e-003	4.180107e-002
1.000000000000000e-002	4.514336e-002
1.079775162327710e-002	4.875354e-002
1.165914401179832e-002	5.265320e-002
1.258925411794167e-002	5.686567e-002
1.359356390878526e-002	6.141620e-002
1.467799267622069e-002	6.633209e-002
1.584893192461113e-002	7.164288e-002
1.711328304161780e-002	7.738052e-002
1.847849797422290e-002	8.357962e-002
1.995262314968879e-002	9.027757e-002
2.154434690031883e-002	9.751492e-002
2.326305067153625e-002	1.053356e-001
2.511886431509579e-002	1.137870e-001
2.712272579332027e-002	1.229207e-001
2.928644564625235e-002	1.327924e-001
3.162277660168378e-002	1.434626e-001
3.414548873833600e-002	1.549969e-001
3.686945064519574e-002	1.674663e-001
3.981071705534971e-002	1.809480e-001
4.298662347082275e-002	1.955255e-001
4.641588833612777e-002	2.112899e-001
5.011872336272721e-002	2.283398e-001
