RL	Rend
3.981071705534963e+004	6.047314e-001
4.298662347082266e+004	5.605288e-001
4.641588833612768e+004	5.195249e-001
5.011872336272711e+004	4.814927e-001
5.411695265464624e+004	4.462209e-001
5.843414133735162e+004	4.135125e-001
6.309573444801918e+004	3.831840e-001
6.812920690579596e+004	3.550648e-001
7.356422544596395e+004	3.289961e-001
7.943282347242796e+004	3.048302e-001
8.576958985908920e+004	2.824298e-001
9.261187281287913e+004	2.616672e-001
9.999999999999975e+004	2.424239e-001
1.079775162327707e+005	2.245897e-001
1.165914401179829e+005	2.080623e-001
1.258925411794164e+005	1.927467e-001
1.359356390878522e+005	1.785546e-001
1.467799267622066e+005	1.654042e-001
1.584893192461110e+005	1.532195e-001
1.711328304161777e+005	1.419300e-001
1.847849797422286e+005	1.314702e-001
1.995262314968875e+005	1.217795e-001
2.154434690031878e+005	1.128015e-001
2.326305067153620e+005	1.044842e-001
2.511886431509573e+005	9.677891e-002
2.712272579332021e+005	8.964094e-002
2.928644564625229e+005	8.302859e-002
3.162277660168371e+005	7.690330e-002
3.414548873833593e+005	7.122927e-002
3.686945064519566e+005	6.597336e-002
3.981071705534962e+005	6.110482e-002
4.298662347082266e+005	5.659517e-002
4.641588833612767e+005	5.241801e-002
5.011872336272710e+005	4.854887e-002
5.411695265464623e+005	4.496509e-002
5.843414133735162e+005	4.164563e-002
6.309573444801917e+005	3.857106e-002
6.812920690579596e+005	3.572331e-002
7.356422544596396e+005	3.308568e-002
7.943282347242796e+005	3.064270e-002
8.576958985908921e+005	2.837999e-002
9.261187281287913e+005	2.628429e-002
9.999999999999977e+005	2.434327e-002
