Vin	Rendimiento
9.382999999999955e+000	5.267748e+001
9.383999999999954e+000	5.267184e+001
9.384999999999954e+000	5.266620e+001
9.385999999999953e+000	5.266055e+001
9.386999999999953e+000	5.265492e+001
9.387999999999952e+000	5.264928e+001
9.388999999999951e+000	5.264364e+001
9.389999999999951e+000	5.263800e+001
9.390999999999950e+000	5.263237e+001
9.391999999999950e+000	5.262673e+001
9.392999999999949e+000	5.262110e+001
9.393999999999949e+000	5.261547e+001
9.394999999999948e+000	5.260984e+001
9.395999999999948e+000	5.260421e+001
9.396999999999947e+000	5.259857e+001
9.397999999999946e+000	5.259295e+001
9.398999999999946e+000	5.258732e+001
9.399999999999945e+000	5.258170e+001
9.400999999999945e+000	5.257608e+001
9.401999999999944e+000	5.257045e+001
9.402999999999944e+000	5.256483e+001
9.403999999999943e+000	5.255921e+001
9.404999999999943e+000	5.255359e+001
9.405999999999942e+000	5.254798e+001
9.406999999999941e+000	5.254236e+001
9.407999999999941e+000	5.253675e+001
9.408999999999940e+000	5.253113e+001
9.409999999999940e+000	5.252552e+001
9.410999999999939e+000	5.251991e+001
9.411999999999939e+000	5.251430e+001
9.412999999999938e+000	5.250869e+001
9.413999999999938e+000	5.250308e+001
9.414999999999937e+000	5.249747e+001
9.415999999999936e+000	5.249186e+001
9.416999999999936e+000	5.248626e+001
9.417999999999935e+000	5.248066e+001
9.418999999999935e+000	5.247506e+001
9.419999999999934e+000	5.246946e+001
9.420999999999934e+000	5.246386e+001
9.421999999999933e+000	5.245826e+001
9.422999999999933e+000	5.245266e+001
9.423999999999932e+000	5.244706e+001
9.424999999999931e+000	5.244147e+001
9.425999999999931e+000	5.243588e+001
9.426999999999930e+000	5.243028e+001
9.427999999999930e+000	5.242469e+001
9.428999999999929e+000	5.241910e+001
9.429999999999929e+000	5.241351e+001
9.430999999999928e+000	5.240793e+001
9.431999999999928e+000	5.240234e+001
9.432999999999927e+000	5.239675e+001
9.433999999999926e+000	5.239117e+001
9.434999999999926e+000	5.238558e+001
9.435999999999925e+000	5.238000e+001
9.436999999999925e+000	5.237442e+001
9.437999999999924e+000	5.236885e+001
9.438999999999924e+000	5.236326e+001
9.439999999999923e+000	5.235769e+001
9.440999999999923e+000	5.235211e+001
9.441999999999922e+000	5.234653e+001
9.442999999999922e+000	5.234097e+001
9.443999999999921e+000	5.233539e+001
9.444999999999920e+000	5.232982e+001
9.445999999999920e+000	5.232425e+001
9.446999999999919e+000	5.231868e+001
9.447999999999919e+000	5.231311e+001
9.448999999999918e+000	5.230755e+001
9.449999999999918e+000	5.230198e+001
9.450999999999917e+000	5.229642e+001
9.451999999999917e+000	5.229086e+001
9.452999999999916e+000	5.228529e+001
9.453999999999915e+000	5.227972e+001
9.454999999999915e+000	5.227418e+001
9.455999999999914e+000	5.226861e+001
9.456999999999914e+000	5.226306e+001
9.457999999999913e+000	5.225750e+001
9.458999999999913e+000	5.225195e+001
9.459999999999912e+000	5.224639e+001
9.460999999999912e+000	5.224084e+001
9.461999999999911e+000	5.223529e+001
9.462999999999910e+000	5.222974e+001
9.463999999999910e+000	5.222419e+001
9.464999999999909e+000	5.221864e+001
9.465999999999909e+000	5.221310e+001
9.466999999999908e+000	5.220755e+001
9.467999999999908e+000	5.220200e+001
9.468999999999907e+000	5.219646e+001
9.469999999999907e+000	5.219092e+001
9.470999999999906e+000	5.218538e+001
9.471999999999905e+000	5.217984e+001
9.472999999999905e+000	5.217431e+001
9.473999999999904e+000	5.216877e+001
9.474999999999904e+000	5.216322e+001
9.475999999999903e+000	5.215769e+001
9.476999999999903e+000	5.215216e+001
9.477999999999902e+000	5.214662e+001
9.478999999999902e+000	5.214110e+001
9.479999999999901e+000	5.213557e+001
9.480999999999900e+000	5.213004e+001
9.481999999999900e+000	5.212450e+001
9.482999999999899e+000	5.211898e+001
9.483999999999899e+000	5.211345e+001
9.484999999999898e+000	5.210793e+001
9.485999999999898e+000	5.210241e+001
9.486999999999897e+000	5.209689e+001
9.487999999999897e+000	5.209137e+001
9.488999999999896e+000	5.208584e+001
9.489999999999895e+000	5.208033e+001
9.490999999999895e+000	5.207481e+001
9.491999999999894e+000	5.206930e+001
9.492999999999894e+000	5.206378e+001
9.493999999999893e+000	5.205826e+001
9.494999999999893e+000	5.205275e+001
9.495999999999892e+000	5.204724e+001
9.496999999999892e+000	5.204173e+001
9.497999999999891e+000	5.203622e+001
9.498999999999890e+000	5.203071e+001
9.499999999999890e+000	5.202521e+001
9.500999999999889e+000	5.201970e+001
9.501999999999889e+000	5.201420e+001
9.502999999999888e+000	5.200869e+001
9.503999999999888e+000	5.200319e+001
9.504999999999887e+000	5.199769e+001
9.505999999999887e+000	5.199219e+001
9.506999999999886e+000	5.198669e+001
9.507999999999885e+000	5.198119e+001
9.508999999999885e+000	5.197570e+001
9.509999999999884e+000	5.197020e+001
9.510999999999884e+000	5.196471e+001
9.511999999999883e+000	5.195921e+001
9.512999999999883e+000	5.195372e+001
9.513999999999882e+000	5.194823e+001
9.514999999999882e+000	5.194274e+001
9.515999999999881e+000	5.193725e+001
9.516999999999880e+000	5.193176e+001
9.517999999999880e+000	5.192628e+001
9.518999999999879e+000	5.192079e+001
9.519999999999879e+000	5.191531e+001
9.520999999999878e+000	5.190983e+001
9.521999999999878e+000	5.190434e+001
9.522999999999877e+000	5.189886e+001
9.523999999999877e+000	5.189338e+001
9.524999999999876e+000	5.188791e+001
9.525999999999876e+000	5.188243e+001
9.526999999999875e+000	5.187695e+001
9.527999999999874e+000	5.187148e+001
9.528999999999874e+000	5.186600e+001
9.529999999999873e+000	5.186053e+001
9.530999999999873e+000	5.185506e+001
9.531999999999872e+000	5.184960e+001
9.532999999999872e+000	5.184412e+001
9.533999999999871e+000	5.183865e+001
9.534999999999871e+000	5.183319e+001
9.535999999999870e+000	5.182772e+001
9.536999999999869e+000	5.182226e+001
9.537999999999869e+000	5.181679e+001
9.538999999999868e+000	5.181134e+001
9.539999999999868e+000	5.180587e+001
9.540999999999867e+000	5.180041e+001
9.541999999999867e+000	5.179496e+001
9.542999999999866e+000	5.178950e+001
9.543999999999866e+000	5.178404e+001
9.544999999999865e+000	5.177858e+001
9.545999999999864e+000	5.177313e+001
9.546999999999864e+000	5.176768e+001
9.547999999999863e+000	5.176223e+001
9.548999999999863e+000	5.175678e+001
9.549999999999862e+000	5.175133e+001
9.550999999999862e+000	5.174588e+001
9.551999999999861e+000	5.174043e+001
9.552999999999861e+000	5.173498e+001
9.553999999999860e+000	5.172954e+001
