Freq	Gain	Phase
1.71132830416178e+001	5.68236619288471e+001	1.45053559374693e+002
1.84784979742229e+001	5.65940245686550e+001	1.42960196470665e+002
1.99526231496888e+001	5.63407720394939e+001	1.40821806096373e+002
2.15443469003188e+001	5.60630196607861e+001	1.38648530124785e+002
2.32630506715363e+001	5.57601341225430e+001	1.36454201582111e+002
2.51188643150958e+001	5.54317615433261e+001	1.34250507574118e+002
2.71227257933203e+001	5.50778437985482e+001	1.32050313224693e+002
2.92864456462524e+001	5.46986211929970e+001	1.29866365762531e+002
3.16227766016838e+001	5.42946213662690e+001	1.27710927006969e+002
3.41454887383360e+001	5.38666354738318e+001	1.25595439229316e+002
3.68694506451957e+001	5.34156838795680e+001	1.23530245424484e+002
3.98107170553497e+001	5.29429743988461e+001	1.21524378546790e+002
4.29866234708228e+001	5.24498565046317e+001	1.19585426561681e+002
4.64158883361278e+001	5.19377748294726e+001	1.17719472712358e+002
5.01187233627272e+001	5.14082248605693e+001	1.15931104100465e+002
5.41169526546464e+001	5.08627130486792e+001	1.14223477306993e+002
5.84341413373518e+001	5.03027227819660e+001	1.12598427461900e+002
6.30957344480193e+001	4.97296869363804e+001	1.11056606674948e+002
6.81292069057961e+001	4.91449670763469e+001	1.09597638835105e+002
7.35642254459641e+001	4.85498389101855e+001	1.08220279626519e+002
7.94328234724281e+001	4.79454832859613e+001	1.06922573092936e+002
8.57695898590894e+001	4.73329818517791e+001	1.05701998486338e+002
9.26118728128793e+001	4.67133164577546e+001	1.04555603363256e+002
1.00000000000000e+002	4.60873714135874e+001	1.03480120780594e+002
1.07977516232771e+002	4.54559378061966e+001	1.02472069896798e+002
1.16591440117983e+002	4.48197192001955e+001	1.01527840303859e+002
1.25892541179417e+002	4.41793381670770e+001	1.00643761156610e+002
1.35935639087853e+002	4.35353432105018e+001	9.98161565284188e+001
1.46779926762207e+002	4.28882157610338e+001	9.90413886549958e+001
1.58489319246111e+002	4.22383770061069e+001	9.83158907308861e+001
1.71132830416178e+002	4.15861943951110e+001	9.76361908755509e+001
1.84784979742229e+002	4.09319877184796e+001	9.69989287604831e+001
1.99526231496888e+002	4.02760347050615e+001	9.64008662097865e+001
2.15443469003188e+002	3.96185761148997e+001	9.58388929334251e+001
2.32630506715363e+002	3.89598203284890e+001	9.53100283712542e+001
2.51188643150958e+002	3.82999474495664e+001	9.48114204756980e+001
2.71227257933203e+002	3.76391129489166e+001	9.43403421148513e+001
2.92864456462524e+002	3.69774508828570e+001	9.38941856438227e+001
3.16227766016838e+002	3.63150767225801e+001	9.34704561031789e+001
3.41454887383360e+002	3.56520898315981e+001	9.30667633914441e+001
3.68694506451957e+002	3.49885756274533e+001	9.26808136923379e+001
3.98107170553497e+002	3.43246074620858e+001	9.23104003726693e+001
4.29866234708228e+002	3.36602482529073e+001	9.19533945096950e+001
4.64158883361278e+002	3.29955518938407e+001	9.16077351682364e+001
5.01187233627272e+002	3.23305644727611e+001	9.12714195121112e+001
5.41169526546464e+002	3.16653253190898e+001	9.09424928034653e+001
