Freq	Gain	Phase
1.46779926762207e+004	5.80426066554678e+001	1.32125773140739e+002
1.58489319246111e+004	5.79447891224147e+001	1.29219284181836e+002
1.71132830416178e+004	5.78242960776157e+001	1.25052482576735e+002
1.84784979742229e+004	5.76775275671602e+001	1.20546395188644e+002
1.99526231496888e+004	5.74986066323655e+001	1.15681802346743e+002
2.15443469003188e+004	5.72792533072044e+001	1.09501334717426e+002
2.32630506715363e+004	5.70153006168586e+001	1.04822152241951e+002
2.51188643150958e+004	5.66937350471041e+001	9.88182725041772e+001
2.71227257933203e+004	5.63060451073346e+001	9.24441435700303e+001
2.92864456462524e+004	5.58421858222279e+001	8.57270538647023e+001
3.16227766016838e+004	5.52925940406056e+001	7.87107630221827e+001
3.41454887383360e+004	5.46490371394374e+001	7.14551886700329e+001
3.68694506451958e+004	5.39054554641929e+001	6.40336789767039e+001
3.98107170553497e+004	5.30586076095119e+001	5.65279498966920e+001
4.29866234708228e+004	5.21083498731650e+001	4.90215181234018e+001
4.64158883361278e+004	5.10574765246876e+001	4.15930061712578e+001
5.01187233627272e+004	4.99111774138054e+001	3.43107316572770e+001
5.41169526546464e+004	4.86762718235567e+001	2.72294981360721e+001
5.84341413373518e+004	4.73604090295676e+001	2.03897583755311e+001
6.30957344480193e+004	4.59713877085084e+001	1.38186868440051e+001
6.81292069057961e+004	4.45166726565986e+001	7.53239263988061e+000
7.35642254459641e+004	4.30031170383475e+001	1.53852320177027e+000
7.94328234724282e+004	4.14368534812525e+001	-4.16128259098417e+000
8.57695898590894e+004	3.98233003375594e+001	-9.56938209207678e+000
9.26118728128793e+004	3.81672320534798e+001	-1.46906433536858e+001
1.00000000000000e+005	3.64728746190228e+001	-1.95314448555137e+001
1.07977516232771e+005	3.47440009787777e+001	-2.40990594918158e+001
1.16591440117983e+005	3.29840131371341e+001	-2.84013092326499e+001
1.25892541179417e+005	3.11960061394395e+001	-3.24463897456054e+001
1.35935639087853e+005	2.93828143059291e+001	-3.62427877288513e+001
1.46779926762207e+005	2.75470427274811e+001	-3.97992381851710e+001
1.58489319246111e+005	2.56164995576441e+001	-5.06095233326887e+001
1.71132830416178e+005	2.38171514211164e+001	-4.62282630818250e+001
1.84784979742229e+005	2.19272493197645e+001	-4.91191942765112e+001
1.99526231496888e+005	2.00232201271034e+001	-5.18067690066693e+001
2.15443469003188e+005	1.78163957796638e+001	-6.90226206848026e+001
2.32630506715363e+005	1.61792922068096e+001	-5.66087836949577e+001
2.51188643150958e+005	1.39519686646658e+001	-7.34638146496251e+001
2.71227257933203e+005	1.22968248307825e+001	-6.07066893368082e+001
