Freq	Gain	Phase
6.81292069057961e+001	3.90980803099953e+001	9.56940687466930e+001
7.35642254459641e+001	3.84384535784675e+001	9.52113576365055e+001
7.94328234724281e+001	3.77778388042218e+001	9.47584927903815e+001
8.57695898590894e+001	3.71163749923518e+001	9.43329821031532e+001
9.26118728128793e+001	3.64541821181494e+001	9.39324588486355e+001
1.00000000000000e+002	3.57913636947513e+001	9.35546749313976e+001
1.07977516232771e+002	3.51280090208009e+001	9.31974934161478e+001
1.16591440117983e+002	3.44641951435898e+001	9.28588805583766e+001
1.25892541179417e+002	3.37999885707546e+001	9.25368975223129e+001
1.35935639087853e+002	3.31354467612082e+001	9.22296919137316e+001
1.46779926762207e+002	3.24706194231368e+001	9.19354892304312e+001
1.58489319246111e+002	3.18055496443716e+001	9.16525842948463e+001
1.71132830416178e+002	3.11402748777697e+001	9.13793327163433e+001
1.84784979742229e+002	3.04748278019086e+001	9.11141424102271e+001
1.99526231496888e+002	2.98092370752194e+001	9.08554651859240e+001
2.15443469003188e+002	2.91435279997274e+001	9.06017884031623e+001
2.32630506715363e+002	2.84777231088753e+001	9.03516266899598e+001
2.51188643150958e+002	2.78118426923873e+001	9.01035137045775e+001
2.71227257933203e+002	2.71459052699217e+001	8.98559939221373e+001
2.92864456462524e+002	2.64799280241607e+001	8.96076144167796e+001
3.16227766016838e+002	2.58139272031783e+001	8.93569166135807e+001
3.41454887383360e+002	2.51479185012833e+001	8.91024279749567e+001
3.68694506451957e+002	2.44819174270553e+001	8.88426535907440e+001
3.98107170553497e+002	2.38159396670157e+001	8.85760676329427e+001
4.29866234708228e+002	2.31500014533205e+001	8.83011046421139e+001
4.64158883361278e+002	2.24841199438556e+001	8.80161506064249e+001
5.01187233627272e+002	2.18183136234412e+001	8.77195337985865e+001
5.41169526546464e+002	2.11526027352694e+001	8.74095153342494e+001
5.84341413373517e+002	2.04870084983475e+001	8.70548357302746e+001
6.30957344480193e+002	1.98215598986269e+001	8.67419232422867e+001
6.81292069057961e+002	1.91562817339927e+001	8.63804465227506e+001
7.35642254459641e+002	1.84912078112125e+001	8.59977406269816e+001
7.94328234724281e+002	1.78263754235021e+001	8.55915773007117e+001
8.57695898590894e+002	1.71618274554998e+001	8.51595969717333e+001
9.26118728128793e+002	1.64976133560124e+001	8.46992966413633e+001
1.00000000000000e+003	1.58337853457739e+001	8.41491300528473e+001
1.07977516232771e+003	1.51704192949212e+001	8.36240441568810e+001
1.16591440117983e+003	1.45075917630578e+001	8.31210292889182e+001
1.25892541179417e+003	1.38453764794263e+001	8.24602185979733e+001
1.35935639087853e+003	1.31838958814138e+001	8.18737477491706e+001
1.46779926762207e+003	1.25232537952327e+001	8.11813193410498e+001
1.58489319246111e+003	1.18635926040965e+001	8.04379503846657e+001
1.71132830416178e+003	1.12050711657404e+001	7.96395235956630e+001
1.84784979742229e+003	1.05478729429121e+001	7.87816636165822e+001
1.99526231496888e+003	9.89220953332135e+000	7.78597275551407e+001
2.15443469003188e+003	9.23832459091536e+000	7.68687977781365e+001
2.32630506715363e+003	8.58649814138414e+000	7.58036777394695e+001
2.51188643150958e+003	7.93705127645778e+000	7.46588917757284e+001
2.71227257933203e+003	7.29033122888702e+000	7.33109159709459e+001
2.92864456462524e+003	6.64681644680971e+000	7.21070593875389e+001
3.16227766016838e+003	6.00692245235622e+000	7.06877430489312e+001
3.41454887383360e+003	5.37120677772266e+000	6.91642683533598e+001
3.68694506451957e+003	4.74019649392537e+000	6.72944405484730e+001
3.98107170553497e+003	4.11480119880158e+000	6.57781245351720e+001
