time	V(vo)	V(vregp)	I(Rl)
1.011504797736089e-003	1.126637e-001	9.500000e+000	2.253274e-003
1.012504797736089e-003	1.123120e-001	9.500000e+000	2.246241e-003
1.013504797736089e-003	1.118184e-001	9.500000e+000	2.236369e-003
1.014114688918994e-003	1.114666e-001	9.500000e+000	2.229332e-003
1.014437432074470e-003	1.112648e-001	9.500000e+000	2.225296e-003
1.014789525340523e-003	1.110354e-001	9.500000e+000	2.220707e-003
1.015221674123501e-003	1.107463e-001	9.500000e+000	2.214927e-003
1.015660843527233e-003	1.104481e-001	9.500000e+000	2.208961e-003
1.016373087381899e-003	1.099835e-001	9.500000e+000	2.199670e-003
1.017373087381899e-003	1.094981e-001	9.500000e+000	2.189962e-003
1.018268153439866e-003	1.096738e-001	9.500000e+000	2.193475e-003
1.019225893580854e-003	1.114381e-001	9.500000e+000	2.228762e-003
1.020098784853277e-003	1.151489e-001	9.500000e+000	2.302978e-003
1.020591720913424e-003	1.186181e-001	9.500000e+000	2.372362e-003
1.021065105867133e-003	1.231456e-001	9.500000e+000	2.462912e-003
1.021487215551808e-003	1.280298e-001	9.500000e+000	2.560596e-003
1.021891710229999e-003	1.335932e-001	9.500000e+000	2.671863e-003
1.022700699586381e-003	1.465896e-001	9.500000e+000	2.931791e-003
1.023489366129858e-003	1.610703e-001	9.500000e+000	3.221407e-003
1.024108832499615e-003	1.737252e-001	9.500000e+000	3.474505e-003
1.024433032663938e-003	1.808465e-001	9.500000e+000	3.616931e-003
1.025219684660743e-003	1.994558e-001	9.500000e+000	3.989116e-003
1.025657607051039e-003	2.104852e-001	9.500000e+000	4.209703e-003
1.026367860822540e-003	2.293193e-001	9.500000e+000	4.586386e-003
1.027367860822540e-003	2.572782e-001	9.500000e+000	5.145564e-003
1.028367860822540e-003	2.867224e-001	9.500000e+000	5.734447e-003
1.029367860822540e-003	3.175361e-001	9.500000e+000	6.350721e-003
1.030367860822540e-003	3.494939e-001	9.500000e+000	6.989877e-003
1.031367860822540e-003	3.824048e-001	9.500000e+000	7.648097e-003
1.033367860822540e-003	4.504274e-001	9.500000e+000	9.008547e-003
1.034742071205329e-003	4.984620e-001	9.500000e+000	9.969240e-003
1.036326520269092e-003	5.549097e-001	9.500000e+000	1.109819e-002
1.037326520269092e-003	5.909143e-001	9.500000e+000	1.181829e-002
1.038326520269092e-003	6.271315e-001	9.500000e+000	1.254263e-002
1.039326520269092e-003	6.635364e-001	9.500000e+000	1.327073e-002
1.040326520269092e-003	7.000886e-001	9.500000e+000	1.400177e-002
1.041326520269092e-003	7.367539e-001	9.500000e+000	1.473508e-002
1.042326520269092e-003	7.735043e-001	9.500000e+000	1.547009e-002
1.044386303539184e-003	8.493701e-001	9.500000e+000	1.698740e-002
1.046784639151993e-003	9.379622e-001	9.500000e+000	1.875924e-002
1.049182974764802e-003	1.026415e+000	9.500000e+000	2.052830e-002
1.051581310377611e-003	1.114729e+000	9.500000e+000	2.229458e-002
1.053979645990419e-003	1.202903e+000	9.500000e+000	2.405806e-002
1.056377981603228e-003	1.290938e+000	9.500000e+000	2.581877e-002
1.058776317216037e-003	1.378835e+000	9.500000e+000	2.757669e-002
1.061174652828846e-003	1.466591e+000	9.500000e+000	2.933183e-002
1.067603749447259e-003	1.700520e+000	9.500000e+000	3.401041e-002
1.074032846065672e-003	1.933912e+000	9.500000e+000	3.867824e-002
1.080461942684086e-003	2.166767e+000	9.500000e+000	4.333534e-002
1.086891039302499e-003	2.399085e+000	9.500000e+000	4.798169e-002
1.093320135920912e-003	2.630865e+000	9.500000e+000	5.261730e-002
1.099749232539325e-003	2.862108e+000	9.500000e+000	5.724217e-002
1.106178329157738e-003	3.092815e+000	9.500000e+000	6.185630e-002
1.107806264830723e-003	3.151272e+000	9.500000e+000	6.302545e-002
1.109434200503707e-003	3.209718e+000	9.500000e+000	6.419435e-002
1.111062136176691e-003	3.268150e+000	9.500000e+000	6.536300e-002
1.112690071849675e-003	3.326570e+000	9.500000e+000	6.653139e-002
1.114318007522659e-003	3.384977e+000	9.500000e+000	6.769954e-002
1.115945943195644e-003	3.443372e+000	9.500000e+000	6.886743e-002
1.117573878868628e-003	3.501754e+000	9.500000e+000	7.003508e-002
1.118573878868628e-003	3.537611e+000	9.500000e+000	7.075223e-002
1.119573878868628e-003	3.573464e+000	9.500000e+000	7.146929e-002
1.120573878868628e-003	3.609313e+000	9.500000e+000	7.218626e-002
1.121573878868628e-003	3.645157e+000	9.500000e+000	7.290315e-002
1.122573878868627e-003	3.680997e+000	9.500000e+000	7.361993e-002
1.123573878868627e-003	3.716831e+000	9.500000e+000	7.433663e-002
1.124140819687185e-003	3.737145e+000	9.500000e+000	7.474290e-002
1.124457075800835e-003	3.748475e+000	9.500000e+000	7.496951e-002
1.124813358187807e-003	3.761239e+000	9.500000e+000	7.522477e-002
1.125230561510744e-003	3.776183e+000	9.500000e+000	7.552365e-002
1.125675300939260e-003	3.792110e+000	9.500000e+000	7.584221e-002
1.126396429307202e-003	3.817930e+000	9.500000e+000	7.635859e-002
1.127396429307202e-003	3.853714e+000	9.500000e+000	7.707427e-002
1.128396429307202e-003	3.889460e+000	9.500000e+000	7.778920e-002
1.129396429307202e-003	3.925135e+000	9.500000e+000	7.850271e-002
1.130396429307202e-003	3.960677e+000	9.500000e+000	7.921354e-002
1.131396429307202e-003	3.995974e+000	9.500000e+000	7.991948e-002
1.132396429307202e-003	4.030838e+000	9.500000e+000	8.061676e-002
1.133396429307202e-003	4.065084e+000	9.500000e+000	8.130167e-002
1.134073395493443e-003	4.087789e+000	9.500000e+000	8.175578e-002
1.135207664933501e-003	4.124154e+000	9.500000e+000	8.248308e-002
1.135638052120263e-003	4.137282e+000	9.500000e+000	8.274563e-002
1.136336272772825e-003	4.157612e+000	9.500000e+000	8.315225e-002
1.137336272772824e-003	4.184952e+000	9.500000e+000	8.369904e-002
1.138336272772824e-003	4.210159e+000	9.500000e+000	8.420319e-002
1.139336272772824e-003	4.233134e+000	9.500000e+000	8.466269e-002
1.140336272772824e-003	4.254068e+000	9.500000e+000	8.508137e-002
1.141336272772824e-003	4.273230e+000	9.500000e+000	8.546460e-002
1.142336272772824e-003	4.290918e+000	9.500000e+000	8.581836e-002
1.143336272772824e-003	4.307482e+000	9.500000e+000	8.614963e-002
1.144389119425151e-003	4.323946e+000	9.500000e+000	8.647890e-002
1.145625328278301e-003	4.342134e+000	9.500000e+000	8.684266e-002
1.147315711220305e-003	4.365829e+000	9.500000e+000	8.731659e-002
1.148315711220305e-003	4.379437e+000	9.500000e+000	8.758874e-002
1.150315711220305e-003	4.405884e+000	9.500000e+000	8.811768e-002
1.153315711220305e-003	4.443932e+000	9.500000e+000	8.887864e-002
1.155209747522376e-003	4.466923e+000	9.500000e+000	8.933846e-002
1.157103783824447e-003	4.489054e+000	9.500000e+000	8.978108e-002
1.158997820126518e-003	4.510325e+000	9.500000e+000	9.020650e-002
1.160891856428589e-003	4.530735e+000	9.500000e+000	9.061470e-002
1.162785892730660e-003	4.550285e+000	9.500000e+000	9.100571e-002
1.164679929032731e-003	4.568975e+000	9.500000e+000	9.137951e-002
1.166573965334803e-003	4.586805e+000	9.500000e+000	9.173610e-002
1.170397153532368e-003	4.620077e+000	9.500000e+000	9.240154e-002
1.174220341729934e-003	4.651062e+000	9.500000e+000	9.302125e-002
1.178043529927499e-003	4.679761e+000	9.500000e+000	9.359523e-002
1.181866718125065e-003	4.706174e+000	9.500000e+000	9.412348e-002
1.185689906322630e-003	4.730300e+000	9.500000e+000	9.460600e-002
1.189513094520196e-003	4.752139e+000	9.500000e+000	9.504279e-002
1.193336282717761e-003	4.771693e+000	9.500000e+000	9.543385e-002
1.197370237777960e-003	4.790696e+000	9.500000e+000	9.581393e-002
1.201404192838158e-003	4.808342e+000	9.500000e+000	9.616683e-002
1.205438147898356e-003	4.824628e+000	9.500000e+000	9.649257e-002
1.209472102958555e-003	4.839557e+000	9.500000e+000	9.679114e-002
1.213506058018754e-003	4.853127e+000	9.500000e+000	9.706255e-002
1.217540013078952e-003	4.865339e+000	9.500000e+000	9.730678e-002
1.221573968139150e-003	4.876193e+000	9.500000e+000	9.752385e-002
1.225537074796168e-003	4.886033e+000	9.500000e+000	9.772065e-002
1.229500181453185e-003	4.895178e+000	9.500000e+000	9.790355e-002
1.233463288110202e-003	4.903628e+000	9.500000e+000	9.807256e-002
1.237426394767220e-003	4.911384e+000	9.500000e+000	9.822767e-002
1.241389501424237e-003	4.918445e+000	9.500000e+000	9.836889e-002
1.245352608081254e-003	4.924811e+000	9.500000e+000	9.849621e-002
1.249315714738272e-003	4.930482e+000	9.500000e+000	9.860964e-002
1.253184392553915e-003	4.935603e+000	9.500000e+000	9.871206e-002
1.257053070369559e-003	4.940369e+000	9.500000e+000	9.880737e-002
1.260921748185203e-003	4.944779e+000	9.500000e+000	9.889559e-002
1.264790426000847e-003	4.948835e+000	9.500000e+000	9.897671e-002
1.268659103816490e-003	4.952536e+000	9.500000e+000	9.905072e-002
1.272527781632134e-003	4.955882e+000	9.500000e+000	9.911764e-002
1.276396459447778e-003	4.958873e+000	9.500000e+000	9.917746e-002
1.280345873794956e-003	4.961692e+000	9.500000e+000	9.923383e-002
1.284295288142135e-003	4.964312e+000	9.500000e+000	9.928624e-002
1.288244702489313e-003	4.966734e+000	9.500000e+000	9.933468e-002
1.292194116836491e-003	4.968958e+000	9.500000e+000	9.937915e-002
1.296143531183669e-003	4.970983e+000	9.500000e+000	9.941966e-002
1.300092945530848e-003	4.972810e+000	9.500000e+000	9.945620e-002
1.304042359878026e-003	4.974439e+000	9.500000e+000	9.948877e-002
1.307950088388133e-003	4.975926e+000	9.500000e+000	9.951853e-002
1.311857816898239e-003	4.977310e+000	9.500000e+000	9.954621e-002
1.315765545408346e-003	4.978591e+000	9.500000e+000	9.957181e-002
