RL	TIP42C
1.467799267622068e+000	4.555133e+000
1.584893192461111e+000	4.625956e+000
1.711328304161779e+000	4.697856e+000
1.847849797422289e+000	4.767399e+000
1.995262314968877e+000	4.828277e+000
2.154434690031881e+000	4.868910e+000
2.326305067153623e+000	4.867636e+000
2.511886431509577e+000	4.782579e+000
2.712272579332025e+000	4.528596e+000
2.928644564625233e+000	3.919782e+000
3.162277660168375e+000	2.507814e+000
3.414548873833597e+000	1.890876e+000
3.686945064519570e+000	2.068183e+000
3.981071705534967e+000	2.190386e+000
4.298662347082271e+000	2.264779e+000
4.641588833612772e+000	2.300329e+000
5.011872336272716e+000	2.304597e+000
5.411695265464629e+000	2.283933e+000
5.843414133735167e+000	2.243654e+000
6.309573444801923e+000	2.188198e+000
6.812920690579603e+000	2.121255e+000
7.356422544596402e+000	2.045880e+000
7.943282347242803e+000	1.964592e+000
8.576958985908927e+000	1.879455e+000
9.261187281287921e+000	1.792152e+000
9.999999999999984e+000	1.704044e+000
1.079775162327708e+001	1.616219e+000
1.165914401179830e+001	1.529540e+000
1.258925411794165e+001	1.444683e+000
1.359356390878523e+001	1.362162e+000
1.467799267622067e+001	1.282365e+000
1.584893192461111e+001	1.205570e+000
1.711328304161778e+001	1.131965e+000
1.847849797422288e+001	1.061669e+000
1.995262314968876e+001	9.947395e-001
2.154434690031880e+001	9.311876e-001
2.326305067153622e+001	8.709866e-001
2.511886431509576e+001	8.140801e-001
2.712272579332023e+001	7.603888e-001
2.928644564625231e+001	7.098158e-001
3.162277660168374e+001	6.622512e-001
3.414548873833596e+001	6.175766e-001
3.686945064519569e+001	5.756670e-001
3.981071705534966e+001	5.363945e-001
4.298662347082269e+001	4.996294e-001
4.641588833612771e+001	4.652426e-001
5.011872336272714e+001	4.331066e-001
5.411695265464627e+001	4.030961e-001
5.843414133735165e+001	3.750896e-001
6.309573444801921e+001	3.489693e-001
6.812920690579600e+001	3.246220e-001
7.356422544596398e+001	3.019388e-001
7.943282347242798e+001	2.808161e-001
8.576958985908924e+001	2.611550e-001
9.261187281287916e+001	2.428615e-001
9.999999999999979e+001	2.258468e-001
1.079775162327707e+002	2.100266e-001
1.165914401179829e+002	1.953217e-001
1.258925411794165e+002	1.816572e-001
1.359356390878523e+002	1.689629e-001
1.467799267622067e+002	1.571726e-001
1.584893192461110e+002	1.462245e-001
1.711328304161777e+002	1.360603e-001
1.847849797422287e+002	1.266257e-001
1.995262314968876e+002	1.178698e-001
2.154434690031879e+002	1.097452e-001
2.326305067153622e+002	1.022073e-001
2.511886431509575e+002	9.521486e-002
2.712272579332023e+002	8.872908e-002
2.928644564625231e+002	8.271400e-002
3.162277660168373e+002	7.713602e-002
3.414548873833595e+002	7.196391e-002
3.686945064519568e+002	6.716856e-002
3.981071705534965e+002	6.272290e-002
4.298662347082268e+002	5.860176e-002
4.641588833612770e+002	5.478170e-002
5.011872336272713e+002	5.124098e-002
5.411695265464626e+002	4.795936e-002
5.843414133735165e+002	4.491806e-002
6.309573444801921e+002	4.209962e-002
6.812920690579600e+002	3.948784e-002
7.356422544596400e+002	3.706768e-002
7.943282347242800e+002	3.482517e-002
8.576958985908925e+002	3.274735e-002
9.261187281287918e+002	3.082220e-002
9.999999999999981e+002	2.903854e-002
1.079775162327707e+003	2.738602e-002
1.165914401179829e+003	2.585510e-002
1.258925411794165e+003	2.443680e-002
1.359356390878523e+003	2.312289e-002
1.467799267622066e+003	2.190572e-002
1.584893192461110e+003	2.077819e-002
1.711328304161777e+003	1.973371e-002
1.847849797422287e+003	1.876618e-002
1.995262314968875e+003	1.786996e-002
2.154434690031879e+003	1.703979e-002
2.326305067153621e+003	1.627082e-002
2.511886431509574e+003	1.555855e-002
2.712272579332022e+003	1.489880e-002
2.928644564625230e+003	1.428771e-002
3.162277660168372e+003	1.372169e-002
3.414548873833594e+003	1.319743e-002
3.686945064519567e+003	1.271185e-002
3.981071705534963e+003	1.226210e-002
4.298662347082266e+003	1.184554e-002
4.641588833612767e+003	1.145972e-002
5.011872336272711e+003	1.110238e-002
5.411695265464624e+003	1.077171e-002
5.843414133735162e+003	1.046488e-002
6.309573444801918e+003	1.018097e-002
6.812920690579596e+003	9.918021e-003
7.356422544596396e+003	9.674487e-003
7.943282347242796e+003	9.448934e-003
8.576958985908921e+003	9.240035e-003
9.261187281287914e+003	9.046561e-003
9.999999999999976e+003	8.867375e-003
