time	V(vo)	V(vregp)	I(Rl)
1.011485066404162e-003	1.133038e-001	9.500000e+000	2.266076e-003
1.012485066404162e-003	1.130324e-001	9.500000e+000	2.260647e-003
1.013485066404162e-003	1.126180e-001	9.500000e+000	2.252360e-003
1.014107199391080e-003	1.123076e-001	9.500000e+000	2.246151e-003
1.014431806060755e-003	1.121293e-001	9.500000e+000	2.242587e-003
1.014782706554751e-003	1.119264e-001	9.500000e+000	2.238528e-003
1.015219130038070e-003	1.116646e-001	9.500000e+000	2.233292e-003
1.015656704776181e-003	1.113923e-001	9.500000e+000	2.227845e-003
1.016366403670445e-003	1.109336e-001	9.500000e+000	2.218673e-003
1.017366403670445e-003	1.102651e-001	9.500000e+000	2.205303e-003
1.018366403670444e-003	1.095774e-001	9.500000e+000	2.191548e-003
1.019366403670444e-003	1.088761e-001	9.500000e+000	2.177523e-003
1.020366403670444e-003	1.081684e-001	9.500000e+000	2.163369e-003
1.021366403670444e-003	1.074623e-001	9.500000e+000	2.149247e-003
1.022366403670444e-003	1.067706e-001	9.500000e+000	2.135411e-003
1.023366403670444e-003	1.061115e-001	9.500000e+000	2.122229e-003
1.024061880335155e-003	1.056887e-001	9.500000e+000	2.113775e-003
1.024397804236500e-003	1.055093e-001	9.500000e+000	2.110185e-003
1.024741564411062e-003	1.053607e-001	9.500000e+000	2.107215e-003
1.025203765943291e-003	1.052257e-001	9.500000e+000	2.104514e-003
1.025631708436685e-003	1.052157e-001	9.500000e+000	2.104314e-003
1.026326022255501e-003	1.055799e-001	9.500000e+000	2.111598e-003
1.027326022255501e-003	1.070266e-001	9.500000e+000	2.140532e-003
1.028326022255501e-003	1.098334e-001	9.500000e+000	2.196667e-003
1.029326022255501e-003	1.143169e-001	9.500000e+000	2.286338e-003
1.030326022255501e-003	1.205527e-001	9.500000e+000	2.411054e-003
1.031326022255501e-003	1.284598e-001	9.500000e+000	2.569195e-003
1.032326022255501e-003	1.378592e-001	9.500000e+000	2.757183e-003
1.033326022255501e-003	1.484782e-001	9.500000e+000	2.969564e-003
1.034046337838979e-003	1.567707e-001	9.500000e+000	3.135414e-003
1.034386159680134e-003	1.608970e-001	9.500000e+000	3.217940e-003
1.034727502207291e-003	1.651929e-001	9.500000e+000	3.303858e-003
1.035198508566171e-003	1.712817e-001	9.500000e+000	3.425633e-003
1.035623154345111e-003	1.769340e-001	9.500000e+000	3.538679e-003
1.036312197546976e-003	1.864249e-001	9.500000e+000	3.728497e-003
1.037312197546975e-003	2.006888e-001	9.500000e+000	4.013775e-003
1.038312197546975e-003	2.154522e-001	9.500000e+000	4.309043e-003
1.039312197546975e-003	2.306669e-001	9.500000e+000	4.613337e-003
1.040312197546975e-003	2.462423e-001	9.500000e+000	4.924845e-003
1.041312197546975e-003	2.620996e-001	9.500000e+000	5.241992e-003
1.042312197546975e-003	2.781710e-001	9.500000e+000	5.563420e-003
1.043312197546975e-003	2.943919e-001	9.500000e+000	5.887838e-003
1.044041001472672e-003	3.062809e-001	9.500000e+000	6.125619e-003
1.044722679833111e-003	3.174470e-001	9.500000e+000	6.348940e-003
1.045538018937832e-003	3.308310e-001	9.500000e+000	6.616620e-003
1.046174458892588e-003	3.412843e-001	9.500000e+000	6.825686e-003
1.047174458892587e-003	3.576985e-001	9.500000e+000	7.153970e-003
1.048174458892587e-003	3.740822e-001	9.500000e+000	7.481643e-003
1.049174458892587e-003	3.904127e-001	9.500000e+000	7.808255e-003
1.050174458892587e-003	4.066707e-001	9.500000e+000	8.133413e-003
1.052174458892587e-003	4.389056e-001	9.500000e+000	8.778112e-003
1.053516832272441e-003	4.603225e-001	9.500000e+000	9.206449e-003
1.054859205652296e-003	4.814819e-001	9.500000e+000	9.629637e-003
1.056201579032150e-003	5.023839e-001	9.500000e+000	1.004768e-002
1.057543952412004e-003	5.230285e-001	9.500000e+000	1.046057e-002
1.058886325791858e-003	5.434156e-001	9.500000e+000	1.086831e-002
1.060228699171712e-003	5.635454e-001	9.500000e+000	1.127091e-002
1.061571072551567e-003	5.834177e-001	9.500000e+000	1.166835e-002
1.064394626468338e-003	6.241996e-001	9.500000e+000	1.248399e-002
1.067218180385110e-003	6.639014e-001	9.500000e+000	1.327803e-002
1.070041734301882e-003	7.025231e-001	9.500000e+000	1.405046e-002
1.072865288218653e-003	7.400647e-001	9.500000e+000	1.480129e-002
1.075688842135425e-003	7.765262e-001	9.500000e+000	1.553052e-002
1.078512396052197e-003	8.119077e-001	9.500000e+000	1.623815e-002
1.081335949968968e-003	8.462090e-001	9.500000e+000	1.692418e-002
1.087664821658467e-003	9.191444e-001	9.500000e+000	1.838289e-002
1.093993693347966e-003	9.892621e-001	9.500000e+000	1.978524e-002
1.100322565037465e-003	1.056562e+000	9.500000e+000	2.113124e-002
1.106651436726964e-003	1.121044e+000	9.500000e+000	2.242089e-002
1.112980308416464e-003	1.182709e+000	9.500000e+000	2.365418e-002
1.119309180105963e-003	1.241556e+000	9.500000e+000	2.483112e-002
1.125638051795462e-003	1.297585e+000	9.500000e+000	2.595170e-002
1.134207663022247e-003	1.371270e+000	9.500000e+000	2.742540e-002
1.142777274249033e-003	1.443360e+000	9.500000e+000	2.886721e-002
1.151346885475819e-003	1.513857e+000	9.500000e+000	3.027714e-002
1.159916496702605e-003	1.582759e+000	9.500000e+000	3.165518e-002
1.168486107929390e-003	1.650067e+000	9.500000e+000	3.300134e-002
1.177055719156176e-003	1.715781e+000	9.500000e+000	3.431562e-002
1.185625330382962e-003	1.779900e+000	9.500000e+000	3.559801e-002
1.196332278646817e-003	1.859481e+000	9.500000e+000	3.718962e-002
1.207039226910672e-003	1.938527e+000	9.500000e+000	3.877055e-002
1.217746175174527e-003	2.017040e+000	9.500000e+000	4.034080e-002
1.228453123438382e-003	2.095018e+000	9.500000e+000	4.190037e-002
1.239160071702237e-003	2.172463e+000	9.500000e+000	4.344926e-002
1.249867019966092e-003	2.249373e+000	9.500000e+000	4.498746e-002
1.260573968229948e-003	2.325749e+000	9.500000e+000	4.651499e-002
1.263111441775776e-003	2.343886e+000	9.500000e+000	4.687772e-002
1.265648915321604e-003	2.362013e+000	9.500000e+000	4.724026e-002
1.268186388867433e-003	2.380130e+000	9.500000e+000	4.760260e-002
1.270723862413261e-003	2.398237e+000	9.500000e+000	4.796475e-002
1.273261335959090e-003	2.416335e+000	9.500000e+000	4.832670e-002
1.275798809504918e-003	2.434423e+000	9.500000e+000	4.868847e-002
1.278336283050746e-003	2.452502e+000	9.500000e+000	4.905003e-002
1.281336283050746e-003	2.473866e+000	9.500000e+000	4.947732e-002
1.282619059006618e-003	2.482998e+000	9.500000e+000	4.965995e-002
1.283901834962490e-003	2.492128e+000	9.500000e+000	4.984255e-002
1.285184610918362e-003	2.501255e+000	9.500000e+000	5.002510e-002
1.286467386874234e-003	2.510381e+000	9.500000e+000	5.020761e-002
1.287750162830106e-003	2.519504e+000	9.500000e+000	5.039007e-002
1.289032938785978e-003	2.528625e+000	9.500000e+000	5.057249e-002
1.290315714741850e-003	2.537744e+000	9.500000e+000	5.075487e-002
1.292315714741850e-003	2.551956e+000	9.500000e+000	5.103912e-002
1.294042359878024e-003	2.564221e+000	9.500000e+000	5.128442e-002
1.294918944527934e-003	2.570446e+000	9.500000e+000	5.140892e-002
1.295795529177845e-003	2.576670e+000	9.500000e+000	5.153339e-002
