time	V(vo)	V(vregp)	I(Rl)
1.011525738625239e-003	1.120244e-001	9.500000e+000	2.240487e-003
1.012525738625239e-003	1.116185e-001	9.500000e+000	2.232371e-003
1.013525738625239e-003	1.111076e-001	9.500000e+000	2.222152e-003
1.014122624550793e-003	1.107986e-001	9.500000e+000	2.215972e-003
1.014443395256451e-003	1.106657e-001	9.500000e+000	2.213313e-003
1.014796756205905e-003	1.106128e-001	9.500000e+000	2.212256e-003
1.015224371293548e-003	1.107853e-001	9.500000e+000	2.215707e-003
1.015665231221208e-003	1.115727e-001	9.500000e+000	2.231454e-003
1.016380172352660e-003	1.142857e-001	9.500000e+000	2.285715e-003
1.016777452177305e-003	1.167790e-001	9.500000e+000	2.335579e-003
1.017114750972917e-003	1.198243e-001	9.500000e+000	2.396486e-003
1.017533197405988e-003	1.246174e-001	9.500000e+000	2.492348e-003
1.017950535813905e-003	1.305127e-001	9.500000e+000	2.610254e-003
1.018590869973715e-003	1.416784e-001	9.500000e+000	2.833568e-003
1.019590869973715e-003	1.627417e-001	9.500000e+000	3.254834e-003
1.020590869973715e-003	1.875455e-001	9.500000e+000	3.750910e-003
1.021590869973715e-003	2.158187e-001	9.500000e+000	4.316374e-003
1.022590869973715e-003	2.469258e-001	9.500000e+000	4.938517e-003
1.023590869973715e-003	2.801583e-001	9.500000e+000	5.603167e-003
1.024147226732093e-003	2.994713e-001	9.500000e+000	5.989426e-003
1.024819211698348e-003	3.237121e-001	9.500000e+000	6.474242e-003
1.025678849920494e-003	3.557517e-001	9.500000e+000	7.115033e-003
1.026402157922835e-003	3.834801e-001	9.500000e+000	7.669603e-003
1.027402157922835e-003	4.226236e-001	9.500000e+000	8.452472e-003
1.028402157922835e-003	4.625777e-001	9.500000e+000	9.251554e-003
1.029402157922835e-003	5.032576e-001	9.500000e+000	1.006515e-002
1.030402157922835e-003	5.445273e-001	9.500000e+000	1.089055e-002
1.031402157922835e-003	5.862755e-001	9.500000e+000	1.172551e-002
1.033402157922834e-003	6.708410e-001	9.500000e+000	1.341682e-002
1.035148384259658e-003	7.458031e-001	9.500000e+000	1.491606e-002
1.036894610596482e-003	8.209896e-001	9.500000e+000	1.641979e-002
1.038640836933306e-003	8.964005e-001	9.500000e+000	1.792801e-002
1.040387063270130e-003	9.720358e-001	9.500000e+000	1.944072e-002
1.042133289606953e-003	1.047896e+000	9.500000e+000	2.095791e-002
1.043879515943777e-003	1.123980e+000	9.500000e+000	2.247959e-002
1.045625742280601e-003	1.200288e+000	9.500000e+000	2.400576e-002
1.048618424238708e-003	1.330796e+000	9.500000e+000	2.661591e-002
1.051611106196815e-003	1.461254e+000	9.500000e+000	2.922508e-002
1.054603788154922e-003	1.591664e+000	9.500000e+000	3.183327e-002
1.057596470113029e-003	1.722024e+000	9.500000e+000	3.444048e-002
1.060589152071136e-003	1.852335e+000	9.500000e+000	3.704671e-002
1.063581834029243e-003	1.982598e+000	9.500000e+000	3.965196e-002
1.066574515987350e-003	2.112811e+000	9.500000e+000	4.225622e-002
1.070823261750196e-003	2.297558e+000	9.500000e+000	4.595117e-002
1.075072007513042e-003	2.482218e+000	9.500000e+000	4.964436e-002
1.079320753275888e-003	2.666790e+000	9.500000e+000	5.333580e-002
1.083569499038735e-003	2.851275e+000	9.500000e+000	5.702549e-002
1.087818244801581e-003	3.035671e+000	9.500000e+000	6.071343e-002
1.092066990564427e-003	3.219981e+000	9.500000e+000	6.439962e-002
1.096315736327273e-003	3.404203e+000	9.500000e+000	6.808405e-002
1.097633559744190e-003	3.461327e+000	9.500000e+000	6.922655e-002
1.098951383161107e-003	3.518444e+000	9.500000e+000	7.036889e-002
1.100269206578023e-003	3.575553e+000	9.500000e+000	7.151107e-002
1.101587029994940e-003	3.632654e+000	9.500000e+000	7.265308e-002
1.102904853411857e-003	3.689747e+000	9.500000e+000	7.379494e-002
1.104222676828773e-003	3.746832e+000	9.500000e+000	7.493664e-002
1.105540500245690e-003	3.803909e+000	9.500000e+000	7.607818e-002
1.106178476932482e-003	3.831537e+000	9.500000e+000	7.663074e-002
1.107178476932482e-003	3.874839e+000	9.500000e+000	7.749678e-002
1.108178476932481e-003	3.918136e+000	9.500000e+000	7.836273e-002
1.109178476932481e-003	3.961428e+000	9.500000e+000	7.922857e-002
1.110178476932481e-003	4.004714e+000	9.500000e+000	8.009429e-002
1.111178476932481e-003	4.047992e+000	9.500000e+000	8.095984e-002
1.112178476932481e-003	4.091259e+000	9.500000e+000	8.182517e-002
