Vin	Rendimiento
9.386999999999953e+000	2.574426e+001
9.387999999999952e+000	2.574029e+001
9.388999999999951e+000	2.573631e+001
9.389999999999951e+000	2.573234e+001
9.390999999999950e+000	2.572838e+001
9.391999999999950e+000	2.572441e+001
9.392999999999949e+000	2.572044e+001
9.393999999999949e+000	2.571647e+001
9.394999999999948e+000	2.571251e+001
9.395999999999948e+000	2.570855e+001
9.396999999999947e+000	2.570458e+001
9.397999999999946e+000	2.570062e+001
9.398999999999946e+000	2.569666e+001
9.399999999999945e+000	2.569270e+001
9.400999999999945e+000	2.568874e+001
9.401999999999944e+000	2.568478e+001
9.402999999999944e+000	2.568082e+001
9.403999999999943e+000	2.567687e+001
9.404999999999943e+000	2.567291e+001
9.405999999999942e+000	2.566896e+001
9.406999999999941e+000	2.566501e+001
9.407999999999941e+000	2.566105e+001
9.408999999999940e+000	2.565710e+001
9.409999999999940e+000	2.565315e+001
9.410999999999939e+000	2.564920e+001
9.411999999999939e+000	2.564525e+001
9.412999999999938e+000	2.564130e+001
9.413999999999938e+000	2.563736e+001
9.414999999999937e+000	2.563341e+001
9.415999999999936e+000	2.562947e+001
9.416999999999936e+000	2.562552e+001
9.417999999999935e+000	2.562158e+001
9.418999999999935e+000	2.561764e+001
9.419999999999934e+000	2.561370e+001
9.420999999999934e+000	2.560976e+001
9.421999999999933e+000	2.560582e+001
9.422999999999933e+000	2.560188e+001
9.423999999999932e+000	2.559794e+001
9.424999999999931e+000	2.559401e+001
9.425999999999931e+000	2.559007e+001
9.426999999999930e+000	2.558614e+001
9.427999999999930e+000	2.558220e+001
9.428999999999929e+000	2.557827e+001
9.429999999999929e+000	2.557434e+001
9.430999999999928e+000	2.557041e+001
9.431999999999928e+000	2.556648e+001
9.432999999999927e+000	2.556255e+001
9.433999999999926e+000	2.555862e+001
9.434999999999926e+000	2.555470e+001
9.435999999999925e+000	2.555077e+001
9.436999999999925e+000	2.554685e+001
9.437999999999924e+000	2.554292e+001
9.438999999999924e+000	2.553900e+001
9.439999999999923e+000	2.553508e+001
9.440999999999923e+000	2.553116e+001
9.441999999999922e+000	2.552723e+001
9.442999999999922e+000	2.552331e+001
9.443999999999921e+000	2.551940e+001
9.444999999999920e+000	2.551548e+001
9.445999999999920e+000	2.551157e+001
9.446999999999919e+000	2.550765e+001
9.447999999999919e+000	2.550373e+001
9.448999999999918e+000	2.549982e+001
9.449999999999918e+000	2.549591e+001
9.450999999999917e+000	2.549200e+001
9.451999999999917e+000	2.548809e+001
9.452999999999916e+000	2.548417e+001
9.453999999999915e+000	2.548027e+001
9.454999999999915e+000	2.547636e+001
9.455999999999914e+000	2.547245e+001
9.456999999999914e+000	2.546855e+001
9.457999999999913e+000	2.546464e+001
9.458999999999913e+000	2.546074e+001
9.459999999999912e+000	2.545683e+001
9.460999999999912e+000	2.545293e+001
9.461999999999911e+000	2.544903e+001
9.462999999999910e+000	2.544513e+001
9.463999999999910e+000	2.544123e+001
9.464999999999909e+000	2.543733e+001
9.465999999999909e+000	2.543344e+001
9.466999999999908e+000	2.542954e+001
9.467999999999908e+000	2.542564e+001
9.468999999999907e+000	2.542175e+001
9.469999999999907e+000	2.541785e+001
9.470999999999906e+000	2.541396e+001
9.471999999999905e+000	2.541007e+001
9.472999999999905e+000	2.540618e+001
9.473999999999904e+000	2.540229e+001
9.474999999999904e+000	2.539840e+001
9.475999999999903e+000	2.539451e+001
9.476999999999903e+000	2.539062e+001
9.477999999999902e+000	2.538674e+001
9.478999999999902e+000	2.538286e+001
9.479999999999901e+000	2.537897e+001
9.480999999999900e+000	2.537509e+001
9.481999999999900e+000	2.537120e+001
9.482999999999899e+000	2.536732e+001
9.483999999999899e+000	2.536344e+001
9.484999999999898e+000	2.535956e+001
9.485999999999898e+000	2.535568e+001
9.486999999999897e+000	2.535180e+001
9.487999999999897e+000	2.534793e+001
9.488999999999896e+000	2.534405e+001
9.489999999999895e+000	2.534018e+001
9.490999999999895e+000	2.533630e+001
9.491999999999894e+000	2.533243e+001
9.492999999999894e+000	2.532856e+001
9.493999999999893e+000	2.532469e+001
9.494999999999893e+000	2.532082e+001
9.495999999999892e+000	2.531695e+001
9.496999999999892e+000	2.531308e+001
9.497999999999891e+000	2.530921e+001
9.498999999999890e+000	2.530535e+001
9.499999999999890e+000	2.530148e+001
9.500999999999889e+000	2.529762e+001
9.501999999999889e+000	2.529375e+001
9.502999999999888e+000	2.528989e+001
9.503999999999888e+000	2.528603e+001
9.504999999999887e+000	2.528217e+001
9.505999999999887e+000	2.527831e+001
9.506999999999886e+000	2.527445e+001
9.507999999999885e+000	2.527059e+001
9.508999999999885e+000	2.526673e+001
9.509999999999884e+000	2.526287e+001
9.510999999999884e+000	2.525902e+001
9.511999999999883e+000	2.525516e+001
9.512999999999883e+000	2.525131e+001
9.513999999999882e+000	2.524746e+001
9.514999999999882e+000	2.524361e+001
9.515999999999881e+000	2.523976e+001
9.516999999999880e+000	2.523591e+001
9.517999999999880e+000	2.523206e+001
9.518999999999879e+000	2.522821e+001
9.519999999999879e+000	2.522436e+001
9.520999999999878e+000	2.522051e+001
9.521999999999878e+000	2.521667e+001
9.522999999999877e+000	2.521283e+001
9.523999999999877e+000	2.520898e+001
9.524999999999876e+000	2.520514e+001
9.525999999999876e+000	2.520130e+001
9.526999999999875e+000	2.519746e+001
9.527999999999874e+000	2.519362e+001
9.528999999999874e+000	2.518978e+001
9.529999999999873e+000	2.518594e+001
9.530999999999873e+000	2.518210e+001
9.531999999999872e+000	2.517827e+001
9.532999999999872e+000	2.517443e+001
9.533999999999871e+000	2.517060e+001
9.534999999999871e+000	2.516676e+001
9.535999999999870e+000	2.516293e+001
9.536999999999869e+000	2.515910e+001
9.537999999999869e+000	2.515527e+001
9.538999999999868e+000	2.515144e+001
9.539999999999868e+000	2.514761e+001
9.540999999999867e+000	2.514379e+001
9.541999999999867e+000	2.513996e+001
9.542999999999866e+000	2.513613e+001
9.543999999999866e+000	2.513231e+001
9.544999999999865e+000	2.512848e+001
9.545999999999864e+000	2.512466e+001
9.546999999999864e+000	2.512083e+001
9.547999999999863e+000	2.511701e+001
9.548999999999863e+000	2.511320e+001
9.549999999999862e+000	2.510938e+001
9.550999999999862e+000	2.510556e+001
9.551999999999861e+000	2.510174e+001
9.552999999999861e+000	2.509792e+001
9.553999999999860e+000	2.509410e+001
9.554999999999859e+000	2.509029e+001
9.555999999999859e+000	2.508648e+001
9.556999999999858e+000	2.508266e+001
9.557999999999858e+000	2.507885e+001
9.558999999999857e+000	2.507504e+001
9.559999999999857e+000	2.507123e+001
9.560999999999856e+000	2.506742e+001
9.561999999999856e+000	2.506361e+001
9.562999999999855e+000	2.505980e+001
9.563999999999854e+000	2.505600e+001
9.564999999999854e+000	2.505219e+001
9.565999999999853e+000	2.504839e+001
9.566999999999853e+000	2.504458e+001
9.567999999999852e+000	2.504078e+001
9.568999999999852e+000	2.503698e+001
9.569999999999851e+000	2.503318e+001
9.570999999999851e+000	2.502937e+001
9.571999999999850e+000	2.502558e+001
9.572999999999849e+000	2.502177e+001
9.573999999999849e+000	2.501798e+001
9.574999999999848e+000	2.501418e+001
9.575999999999848e+000	2.501039e+001
9.576999999999847e+000	2.500659e+001
9.577999999999847e+000	2.500280e+001
9.578999999999846e+000	2.499900e+001
9.579999999999846e+000	2.499521e+001
9.580999999999845e+000	2.499142e+001
9.581999999999844e+000	2.498763e+001
9.582999999999844e+000	2.498384e+001
9.583999999999843e+000	2.498005e+001
9.584999999999843e+000	2.497626e+001
9.585999999999842e+000	2.497248e+001
9.586999999999842e+000	2.496869e+001
9.587999999999841e+000	2.496491e+001
9.588999999999841e+000	2.496112e+001
9.589999999999840e+000	2.495734e+001
9.590999999999839e+000	2.495356e+001
9.591999999999839e+000	2.494977e+001
9.592999999999838e+000	2.494599e+001
9.593999999999838e+000	2.494222e+001
9.594999999999837e+000	2.493844e+001
9.595999999999837e+000	2.493466e+001
9.596999999999836e+000	2.493088e+001
9.597999999999836e+000	2.492710e+001
9.598999999999835e+000	2.492333e+001
9.599999999999834e+000	2.491955e+001
9.600999999999834e+000	2.491578e+001
