Vin	Rendimiento
9.397999999999946e+000	1.694081e+001
9.398999999999946e+000	1.693794e+001
9.399999999999945e+000	1.693507e+001
9.400999999999945e+000	1.693220e+001
9.401999999999944e+000	1.692933e+001
9.402999999999944e+000	1.692646e+001
9.403999999999943e+000	1.692360e+001
9.404999999999943e+000	1.692073e+001
9.405999999999942e+000	1.691787e+001
9.406999999999941e+000	1.691500e+001
9.407999999999941e+000	1.691214e+001
9.408999999999940e+000	1.690927e+001
9.409999999999940e+000	1.690641e+001
9.410999999999939e+000	1.690355e+001
9.411999999999939e+000	1.690069e+001
9.412999999999938e+000	1.689783e+001
9.413999999999938e+000	1.689497e+001
9.414999999999937e+000	1.689211e+001
9.415999999999936e+000	1.688925e+001
9.416999999999936e+000	1.688640e+001
9.417999999999935e+000	1.688354e+001
9.418999999999935e+000	1.688069e+001
9.419999999999934e+000	1.687783e+001
9.420999999999934e+000	1.687498e+001
9.421999999999933e+000	1.687213e+001
9.422999999999933e+000	1.686927e+001
9.423999999999932e+000	1.686642e+001
9.424999999999931e+000	1.686357e+001
9.425999999999931e+000	1.686072e+001
9.426999999999930e+000	1.685787e+001
9.427999999999930e+000	1.685502e+001
9.428999999999929e+000	1.685217e+001
9.429999999999929e+000	1.684932e+001
9.430999999999928e+000	1.684648e+001
9.431999999999928e+000	1.684363e+001
9.432999999999927e+000	1.684079e+001
9.433999999999926e+000	1.683794e+001
9.434999999999926e+000	1.683510e+001
9.435999999999925e+000	1.683226e+001
9.436999999999925e+000	1.682941e+001
9.437999999999924e+000	1.682657e+001
9.438999999999924e+000	1.682373e+001
9.439999999999923e+000	1.682089e+001
9.440999999999923e+000	1.681805e+001
9.441999999999922e+000	1.681521e+001
9.442999999999922e+000	1.681238e+001
9.443999999999921e+000	1.680954e+001
9.444999999999920e+000	1.680670e+001
9.445999999999920e+000	1.680387e+001
9.446999999999919e+000	1.680103e+001
9.447999999999919e+000	1.679820e+001
9.448999999999918e+000	1.679536e+001
9.449999999999918e+000	1.679253e+001
9.450999999999917e+000	1.678970e+001
9.451999999999917e+000	1.678687e+001
9.452999999999916e+000	1.678404e+001
9.453999999999915e+000	1.678121e+001
9.454999999999915e+000	1.677838e+001
9.455999999999914e+000	1.677555e+001
9.456999999999914e+000	1.677272e+001
9.457999999999913e+000	1.676989e+001
9.458999999999913e+000	1.676707e+001
9.459999999999912e+000	1.676424e+001
9.460999999999912e+000	1.676142e+001
9.461999999999911e+000	1.675859e+001
9.462999999999910e+000	1.675577e+001
9.463999999999910e+000	1.675295e+001
9.464999999999909e+000	1.675013e+001
9.465999999999909e+000	1.674731e+001
9.466999999999908e+000	1.674449e+001
9.467999999999908e+000	1.674167e+001
9.468999999999907e+000	1.673885e+001
9.469999999999907e+000	1.673603e+001
9.470999999999906e+000	1.673321e+001
9.471999999999905e+000	1.673039e+001
9.472999999999905e+000	1.672758e+001
9.473999999999904e+000	1.672476e+001
9.474999999999904e+000	1.672195e+001
9.475999999999903e+000	1.671914e+001
9.476999999999903e+000	1.671632e+001
9.477999999999902e+000	1.671351e+001
9.478999999999902e+000	1.671070e+001
9.479999999999901e+000	1.670789e+001
9.480999999999900e+000	1.670508e+001
9.481999999999900e+000	1.670227e+001
9.482999999999899e+000	1.669946e+001
9.483999999999899e+000	1.669665e+001
9.484999999999898e+000	1.669385e+001
9.485999999999898e+000	1.669104e+001
9.486999999999897e+000	1.668823e+001
9.487999999999897e+000	1.668543e+001
9.488999999999896e+000	1.668262e+001
9.489999999999895e+000	1.667982e+001
9.490999999999895e+000	1.667702e+001
9.491999999999894e+000	1.667421e+001
9.492999999999894e+000	1.667141e+001
9.493999999999893e+000	1.666861e+001
9.494999999999893e+000	1.666581e+001
9.495999999999892e+000	1.666301e+001
9.496999999999892e+000	1.666021e+001
9.497999999999891e+000	1.665742e+001
9.498999999999890e+000	1.665462e+001
9.499999999999890e+000	1.665182e+001
9.500999999999889e+000	1.664903e+001
9.501999999999889e+000	1.664623e+001
9.502999999999888e+000	1.664344e+001
9.503999999999888e+000	1.664065e+001
9.504999999999887e+000	1.663785e+001
9.505999999999887e+000	1.663506e+001
9.506999999999886e+000	1.663227e+001
9.507999999999885e+000	1.662948e+001
9.508999999999885e+000	1.662669e+001
9.509999999999884e+000	1.662390e+001
9.510999999999884e+000	1.662111e+001
9.511999999999883e+000	1.661832e+001
9.512999999999883e+000	1.661554e+001
9.513999999999882e+000	1.661275e+001
9.514999999999882e+000	1.660996e+001
9.515999999999881e+000	1.660718e+001
9.516999999999880e+000	1.660440e+001
9.517999999999880e+000	1.660161e+001
9.518999999999879e+000	1.659883e+001
9.519999999999879e+000	1.659605e+001
9.520999999999878e+000	1.659327e+001
9.521999999999878e+000	1.659049e+001
9.522999999999877e+000	1.658771e+001
9.523999999999877e+000	1.658493e+001
9.524999999999876e+000	1.658215e+001
9.525999999999876e+000	1.657937e+001
9.526999999999875e+000	1.657659e+001
9.527999999999874e+000	1.657382e+001
9.528999999999874e+000	1.657104e+001
9.529999999999873e+000	1.656827e+001
9.530999999999873e+000	1.656549e+001
9.531999999999872e+000	1.656272e+001
9.532999999999872e+000	1.655995e+001
9.533999999999871e+000	1.655717e+001
9.534999999999871e+000	1.655440e+001
9.535999999999870e+000	1.655163e+001
9.536999999999869e+000	1.654886e+001
9.537999999999869e+000	1.654609e+001
9.538999999999868e+000	1.654333e+001
9.539999999999868e+000	1.654056e+001
9.540999999999867e+000	1.653779e+001
9.541999999999867e+000	1.653502e+001
9.542999999999866e+000	1.653226e+001
9.543999999999866e+000	1.652949e+001
9.544999999999865e+000	1.652673e+001
9.545999999999864e+000	1.652397e+001
9.546999999999864e+000	1.652120e+001
9.547999999999863e+000	1.651844e+001
9.548999999999863e+000	1.651568e+001
9.549999999999862e+000	1.651292e+001
9.550999999999862e+000	1.651016e+001
9.551999999999861e+000	1.650740e+001
9.552999999999861e+000	1.650464e+001
9.553999999999860e+000	1.650188e+001
9.554999999999859e+000	1.649913e+001
9.555999999999859e+000	1.649637e+001
9.556999999999858e+000	1.649362e+001
9.557999999999858e+000	1.649086e+001
9.558999999999857e+000	1.648811e+001
9.559999999999857e+000	1.648535e+001
