Time Base:500μs
Sampling Rate:8.00MSa/s
Amplitude:10.00mV
Amplitude resolution:400.00μV
Data Uint:mv
Data points:64000
  0.00E+00
  8.00E-01
  1.20E+00
  8.00E-01
  4.00E-01
  4.00E-01
  8.00E-01
  4.00E-01
  4.00E-01
  4.00E-01
  1.20E+00
  1.60E+00
  1.20E+00
  1.20E+00
  1.60E+00
  1.60E+00
  1.60E+00
  1.60E+00
  1.20E+00
  1.60E+00
  2.40E+00
  1.20E+00
  2.40E+00
  2.00E+00
  2.40E+00
  2.00E+00
  1.60E+00
  2.40E+00
  2.00E+00
  1.60E+00
  1.60E+00
  1.60E+00
  2.00E+00
  1.60E+00
  1.60E+00
  2.00E+00
  2.80E+00
  2.40E+00
  2.40E+00
  2.40E+00
  2.80E+00
  2.80E+00
  3.20E+00
  2.80E+00
  2.40E+00
  2.80E+00
  2.80E+00
  3.20E+00
  3.20E+00
  2.80E+00
  2.80E+00
  3.20E+00
  2.80E+00
  2.40E+00
  2.80E+00
  2.80E+00
  3.20E+00
  3.20E+00
  3.20E+00
  3.20E+00
  3.20E+00
  3.20E+00
  2.80E+00
  2.80E+00
  3.20E+00
  3.20E+00
  3.20E+00
  3.20E+00
  3.60E+00
  4.40E+00
  4.40E+00
  3.20E+00
  3.20E+00
  4.00E+00
  3.60E+00
  3.20E+00
  3.20E+00
  3.20E+00
  4.00E+00
  4.40E+00
  4.00E+00
  4.00E+00
  4.40E+00
  4.80E+00
  4.80E+00
  3.20E+00
  3.60E+00
  3.60E+00
  4.00E+00
  4.00E+00
  4.40E+00
  4.40E+00
  4.40E+00
  4.80E+00
  4.80E+00
  4.40E+00
  4.40E+00
  4.40E+00
  4.00E+00
  4.00E+00
  4.00E+00
  4.40E+00
  4.80E+00
  4.40E+00
  4.40E+00
  4.80E+00
  4.80E+00
  4.80E+00
  4.80E+00
  4.40E+00
  4.80E+00
  4.00E+00
  3.20E+00
  4.40E+00
  4.80E+00
  5.20E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.20E+00
  4.80E+00
  4.80E+00
  4.80E+00
  4.40E+00
  4.40E+00
  4.80E+00
  4.80E+00
  5.20E+00
  5.20E+00
  5.20E+00
  4.80E+00
  4.80E+00
  4.40E+00
  4.40E+00
  4.80E+00
  4.40E+00
  4.40E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.20E+00
  6.00E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.20E+00
  4.80E+00
  4.80E+00
  5.20E+00
  5.60E+00
  5.20E+00
  4.80E+00
  4.80E+00
  5.20E+00
  5.20E+00
  5.60E+00
  6.00E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.60E+00
  6.00E+00
  6.00E+00
  6.00E+00
  5.60E+00
  5.20E+00
  5.60E+00
  5.20E+00
  4.80E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.60E+00
  6.00E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.20E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.60E+00
  6.00E+00
  6.00E+00
  6.00E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.60E+00
  5.60E+00
  5.60E+00
  6.00E+00
  6.00E+00
  6.00E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.60E+00
  6.40E+00
  6.80E+00
  6.80E+00
  6.00E+00
  5.60E+00
  6.00E+00
  5.60E+00
  5.20E+00
  4.80E+00
  5.20E+00
  6.00E+00
  6.40E+00
  6.80E+00
  6.40E+00
  6.40E+00
  6.00E+00
  5.60E+00
  5.20E+00
  5.20E+00
  5.60E+00
  6.00E+00
  6.00E+00
  6.00E+00
  6.00E+00
  6.80E+00
  6.40E+00
  6.00E+00
  6.00E+00
  6.00E+00
  5.60E+00
  5.60E+00
  6.00E+00
